id,createTime,modifyTime,tags,countryType,continents,provinceId,provinceName,provinceShortName,cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,comment,sort,operator,locationId
84057,1581563520000,1581563520000,,2,亚洲,6,日本,,,194,203,0,9,0,,0,wangjinyuan,951002
84054,1581563520000,1581563520000,,2,亚洲,3,新加坡,,,41,50,0,9,0,,0,wangjinyuan,952009
84053,1581563520000,1581563520000,,2,亚洲,2,泰国,,,23,33,0,10,0,,0,wangjinyuan,952010
84058,1581563520000,1581563520000,,2,亚洲,7,韩国,,,24,28,0,4,0,,0,wangjinyuan,951004
84055,1581563520000,1581563520000,,2,亚洲,4,马来西亚,,,15,18,0,3,0,,0,wangjinyuan,952007
84065,1581563520000,1581563520000,,2,欧洲,10,德国,,,16,16,0,0,0,,0,wangjinyuan,963003
84060,1581563520000,1581563520000,,2,亚洲,9,越南,,,12,15,0,3,0,,0,wangjinyuan,952011
84062,1581563520000,1581563520000,,2,大洋洲,10,澳大利亚,,,10,15,0,5,0,,0,wangjinyuan,990001
84059,1581563520000,1581563520000,,2,北美洲,8,美国,,,11,14,0,3,0,,0,wangjinyuan,971002
84056,1581563520000,1581563520000,,2,欧洲,5,法国,,,11,11,0,0,0,,0,wangjinyuan,961002
84068,1581563520000,1581563520000,,2,亚洲,10,阿联酋,,,7,8,0,1,0,,0,wangjinyuan,955019
84072,1581563520000,1581563520000,,2,欧洲,10,英国,,,8,8,0,0,0,,0,wangjinyuan,961007
84063,1581563520000,1581563520000,,2,北美洲,10,加拿大,,,5,7,0,2,0,,0,wangjinyuan,971001
84070,1581563520000,1581563520000,,2,亚洲,10,印度,,,3,3,0,0,0,,0,wangjinyuan,953003
84071,1581563520000,1581563520000,,2,欧洲,10,意大利,,,3,3,0,0,0,,0,wangjinyuan,965008
84076,1581563520000,1581563520000,,2,亚洲,10,菲律宾,,,1,3,0,1,1,,0,wangjinyuan,952008
84073,1581563520000,1581563520000,,2,欧洲,10,俄罗斯,,,2,2,0,0,0,,0,wangjinyuan,964006
84074,1581563520000,1581563520000,,2,欧洲,10,西班牙,,,2,2,0,0,0,,0,wangjinyuan,965015
84061,1581563520000,1581563520000,,2,亚洲,10,尼泊尔,,,1,1,0,0,0,,0,wangjinyuan,953005
84064,1581563520000,1581563520000,,2,亚洲,10,柬埔寨,,,0,1,0,1,0,,0,wangjinyuan,952003
84066,1581563520000,1581563520000,,2,亚洲,10,斯里兰卡,,,1,1,0,0,0,,0,wangjinyuan,953007
84069,1581563520000,1581563520000,,2,欧洲,10,芬兰,,,0,1,0,1,0,,0,wangjinyuan,962002
84075,1581563520000,1581563520000,,2,欧洲,10,瑞典,,,1,1,0,0,0,,0,wangjinyuan,962005
84087,1581563520000,1581563520000,,2,欧洲,10,比利时,,,1,1,0,0,0,,0,wangjinyuan,961001
