id,createTime,modifyTime,tags,countryType,continents,provinceId,provinceName,provinceShortName,cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,comment,sort,operator,locationId
287458,1582077909000,1582077909000,,2,其他,10,钻石公主号邮轮,,,542,542,0,0,0,,0,zhaocy,0
287394,1582077909000,1582077909000,,2,亚洲,6,日本,,,61,74,0,12,1,,0,zhaocy,951002
287391,1582077909000,1582077909000,,2,亚洲,3,新加坡,,,52,81,0,29,0,,0,zhaocy,952009
287395,1582077909000,1582077909000,,2,亚洲,7,韩国,,,34,46,0,12,0,,0,zhaocy,951004
287390,1582077909000,1582077909000,,2,亚洲,2,泰国,,,20,35,0,15,0,,0,zhaocy,952010
287402,1582077909000,1582077909000,,2,欧洲,10,德国,,,15,16,0,1,0,,0,zhaocy,963003
287396,1582077909000,1582077909000,,2,北美洲,8,美国,,,12,15,0,3,0,,0,zhaocy,971002
287392,1582077909000,1582077909000,,2,亚洲,4,马来西亚,,,9,22,0,13,0,,0,zhaocy,952007
287397,1582077909000,1582077909000,,2,亚洲,9,越南,,,9,16,0,7,0,,0,zhaocy,952011
287393,1582077909000,1582077909000,,2,欧洲,5,法国,,,7,12,0,4,1,,0,zhaocy,961002
287400,1582077909000,1582077909000,,2,北美洲,10,加拿大,,,6,8,0,2,0,,0,zhaocy,971001
287399,1582077909000,1582077909000,,2,大洋洲,10,澳大利亚,,,5,15,0,10,0,,0,zhaocy,990001
287405,1582077909000,1582077909000,,2,亚洲,10,阿联酋,,,5,9,0,4,0,,0,zhaocy,955019
287408,1582077909000,1582077909000,,2,欧洲,10,意大利,,,3,3,0,0,0,,0,zhaocy,965008
287411,1582077909000,1582077909000,,2,欧洲,10,西班牙,,,2,2,0,0,0,,0,zhaocy,965015
287398,1582077909000,1582077909000,,2,亚洲,10,尼泊尔,,,1,1,0,0,0,,0,zhaocy,953005
287403,1582077909000,1582077909000,,2,亚洲,10,斯里兰卡,,,1,1,0,0,0,,0,zhaocy,953007
287409,1582077909000,1582077909000,,2,欧洲,10,英国,,,1,9,0,8,0,,0,zhaocy,961007
287412,1582077909000,1582077909000,,2,欧洲,10,瑞典,,,1,1,0,0,0,,0,zhaocy,962005
287413,1582077909000,1582077909000,,2,亚洲,10,菲律宾,,,1,3,0,1,1,,0,zhaocy,952008
287440,1582077909000,1582077909000,,2,非洲,10,埃及,,,1,1,0,0,0,,0,zhaocy,981002
287401,1582077909000,1582077909000,,2,亚洲,10,柬埔寨,,,0,1,0,1,0,,0,zhaocy,952003
287406,1582077909000,1582077909000,,2,欧洲,10,芬兰,,,0,1,0,1,0,,0,zhaocy,962002
287407,1582077909000,1582077909000,,2,亚洲,10,印度,,,0,3,0,3,0,,0,zhaocy,953003
287410,1582077909000,1582077909000,,2,欧洲,10,俄罗斯,,,0,2,0,2,0,,0,zhaocy,964006
287424,1582077909000,1582077909000,,2,欧洲,10,比利时,,,0,1,0,1,0,,0,zhaocy,961001
