provinceName,provinceShortName,confirmedCount_sum,suspectedCount_sum,curedCount_sum,deadCount_sum,comment,locationId_s,cityName,confirmedCount,suspectedCount,curedCount,deadCount,locationId
湖北省,湖北,16678,0,520,479,,420000,武汉,8351,0,369,362,420100
湖北省,湖北,16678,0,520,479,,420000,黄冈,1645,0,52,25,421100
湖北省,湖北,16678,0,520,479,,420000,孝感,1462,0,6,18,420900
湖北省,湖北,16678,0,520,479,,420000,襄阳,735,0,7,2,420600
湖北省,湖北,16678,0,520,479,,420000,荆州,713,0,10,9,421000
湖北省,湖北,16678,0,520,479,,420000,随州,706,0,9,8,421300
湖北省,湖北,16678,0,520,479,,420000,黄石,509,0,17,2,420200
湖北省,湖北,16678,0,520,479,,420000,宜昌,496,0,9,4,420500
湖北省,湖北,16678,0,520,479,,420000,荆门,422,0,16,16,420800
湖北省,湖北,16678,0,520,479,,420000,咸宁,384,0,2,0,421200
湖北省,湖北,16678,0,520,479,,420000,鄂州,382,0,6,18,420700
湖北省,湖北,16678,0,520,479,,420000,十堰,318,0,9,0,420300
湖北省,湖北,16678,0,520,479,,420000,仙桃,225,0,0,4,429004
湖北省,湖北,16678,0,520,479,,420000,恩施州,138,0,6,0,422800
湖北省,湖北,16678,0,520,479,,420000,天门,128,0,0,10,429006
湖北省,湖北,16678,0,520,479,,420000,潜江,54,0,0,1,429005
湖北省,湖北,16678,0,520,479,,420000,神农架林区,10,0,2,0,429021
浙江省,浙江,895,0,65,0,,330000,温州,364,0,28,0,330300
浙江省,浙江,895,0,65,0,,330000,杭州,141,0,7,0,330100
浙江省,浙江,895,0,65,0,,330000,台州,122,0,11,0,331000
浙江省,浙江,895,0,65,0,,330000,宁波,120,0,4,0,330200
浙江省,浙江,895,0,65,0,,330000,金华,44,0,6,0,330700
浙江省,浙江,895,0,65,0,,330000,绍兴,30,0,3,0,330600
浙江省,浙江,895,0,65,0,,330000,嘉兴,27,0,0,0,330400
浙江省,浙江,895,0,65,0,,330000,丽水,16,0,1,0,331100
浙江省,浙江,895,0,65,0,,330000,衢州,15,0,2,0,330800
浙江省,浙江,895,0,65,0,,330000,湖州,9,0,1,0,330500
浙江省,浙江,895,0,65,0,,330000,舟山,7,0,2,0,330900
广东省,广东,870,0,32,0,,440000,深圳,289,0,13,0,440300
广东省,广东,870,0,32,0,,440000,广州,237,0,3,0,440100
广东省,广东,870,0,32,0,,440000,珠海,69,0,1,0,440400
广东省,广东,870,0,32,0,,440000,佛山,49,0,1,0,440600
广东省,广东,870,0,32,0,,440000,东莞,44,0,0,0,441900
