id,createTime,modifyTime,tags,countryType,continents,provinceId,provinceName,provinceShortName,cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,comment,sort,operator,locationId
212250,1581909957000,1581909957000,,2,其他,10,钻石公主号邮轮,,,355,355,0,0,0,,0,hekaiqi,0
212143,1581909957000,1581909957000,,2,亚洲,3,新加坡,,,56,75,0,19,0,,0,hekaiqi,952009
212146,1581909957000,1581909957000,,2,亚洲,6,日本,,,49,62,0,12,1,,0,hekaiqi,951002
212147,1581909957000,1581909957000,,2,亚洲,7,韩国,,,21,30,0,9,0,,0,hekaiqi,951004
212142,1581909957000,1581909957000,,2,亚洲,2,泰国,,,20,34,0,14,0,,0,hekaiqi,952010
212144,1581909957000,1581909957000,,2,亚洲,4,马来西亚,,,15,22,0,7,0,,0,hekaiqi,952007
212154,1581909957000,1581909957000,,2,欧洲,10,德国,,,15,16,0,1,0,,0,hekaiqi,963003
212148,1581909957000,1581909957000,,2,北美洲,8,美国,,,12,15,0,3,0,,0,hekaiqi,971002
212149,1581909957000,1581909957000,,2,亚洲,9,越南,,,9,16,0,7,0,,0,hekaiqi,952011
212145,1581909957000,1581909957000,,2,欧洲,5,法国,,,7,12,0,4,1,,0,hekaiqi,961002
212152,1581909957000,1581909957000,,2,北美洲,10,加拿大,,,6,8,0,2,0,,0,hekaiqi,971001
212151,1581909957000,1581909957000,,2,大洋洲,10,澳大利亚,,,5,15,0,10,0,,0,hekaiqi,990001
212157,1581909957000,1581909957000,,2,亚洲,10,阿联酋,,,5,9,0,4,0,,0,hekaiqi,955019
212160,1581909957000,1581909957000,,2,欧洲,10,意大利,,,3,3,0,0,0,,0,hekaiqi,965008
212163,1581909957000,1581909957000,,2,欧洲,10,西班牙,,,2,2,0,0,0,,0,hekaiqi,965015
212150,1581909957000,1581909957000,,2,亚洲,10,尼泊尔,,,1,1,0,0,0,,0,hekaiqi,953005
212155,1581909957000,1581909957000,,2,亚洲,10,斯里兰卡,,,1,1,0,0,0,,0,hekaiqi,953007
212161,1581909957000,1581909957000,,2,欧洲,10,英国,,,1,9,0,8,0,,0,hekaiqi,961007
212164,1581909957000,1581909957000,,2,欧洲,10,瑞典,,,1,1,0,0,0,,0,hekaiqi,962005
212165,1581909957000,1581909957000,,2,亚洲,10,菲律宾,,,1,3,0,1,1,,0,hekaiqi,952008
212204,1581909957000,1581909957000,,2,非洲,10,埃及,,,1,1,0,0,0,,0,hekaiqi,981002
212153,1581909957000,1581909957000,,2,亚洲,10,柬埔寨,,,0,1,0,1,0,,0,hekaiqi,952003
212158,1581909957000,1581909957000,,2,欧洲,10,芬兰,,,0,1,0,1,0,,0,hekaiqi,962002
212159,1581909957000,1581909957000,,2,亚洲,10,印度,,,0,3,0,3,0,,0,hekaiqi,953003
212162,1581909957000,1581909957000,,2,欧洲,10,俄罗斯,,,0,2,0,2,0,,0,hekaiqi,964006
212176,1581909957000,1581909957000,,2,欧洲,10,比利时,,,0,1,0,1,0,,0,hekaiqi,961001
