provinceName,provinceShortName,currentConfirmedCount...3,confirmedCount_sum,suspectedCount_sum,curedCount_sum,deadCount_sum,comment,locationId_s,cityName,currentConfirmedCount...11,confirmedCount,suspectedCount,curedCount,deadCount,locationId
湖北省,湖北,49847,58182,0,6639,1696,,420000,武汉,36385,41152,0,3458,1309,420100
湖北省,湖北,49847,58182,0,6639,1696,,420000,孝感,2760,3279,0,449,70,420900
湖北省,湖北,49847,58182,0,6639,1696,,420000,黄冈,1915,2831,0,838,78,421100
湖北省,湖北,49847,58182,0,6639,1696,,420000,荆州,1159,1501,0,305,37,421000
湖北省,湖北,49847,58182,0,6639,1696,,420000,随州,1103,1267,0,140,24,421300
湖北省,湖北,49847,58182,0,6639,1696,,420000,鄂州,995,1274,0,244,35,420700
湖北省,湖北,49847,58182,0,6639,1696,,420000,襄阳,984,1155,0,151,20,420600
湖北省,湖北,49847,58182,0,6639,1696,,420000,黄石,762,983,0,206,15,420200
湖北省,湖北,49847,58182,0,6639,1696,,420000,荆门,750,915,0,132,33,420800
湖北省,湖北,49847,58182,0,6639,1696,,420000,宜昌,715,895,0,156,24,420500
湖北省,湖北,49847,58182,0,6639,1696,,420000,咸宁,670,861,0,181,10,421200
湖北省,湖北,49847,58182,0,6639,1696,,420000,十堰,484,612,0,126,2,420300
湖北省,湖北,49847,58182,0,6639,1696,,420000,天门,436,485,0,39,10,429006
湖北省,湖北,49847,58182,0,6639,1696,,420000,仙桃,405,531,0,107,19,429004
湖北省,湖北,49847,58182,0,6639,1696,,420000,恩施州,164,249,0,81,4,422800
湖北省,湖北,49847,58182,0,6639,1696,,420000,潜江,158,182,0,18,6,429005
湖北省,湖北,49847,58182,0,6639,1696,,420000,神农架林区,2,10,0,8,0,429021
广东省,广东,845,1322,0,473,4,,440000,深圳,282,415,0,131,2,440300
广东省,广东,845,1322,0,473,4,,440000,广州,218,339,0,121,0,440100
广东省,广东,845,1322,0,473,4,,440000,东莞,76,89,0,12,1,441900
广东省,广东,845,1322,0,473,4,,440000,佛山,61,84,0,23,0,440600
广东省,广东,845,1322,0,473,4,,440000,珠海,60,97,0,37,0,440400
广东省,广东,845,1322,0,473,4,,440000,中山,32,66,0,34,0,442000
