id,createTime,modifyTime,tags,countryType,continents,provinceId,provinceName,provinceShortName,cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,comment,sort,operator,locationId
503571,1582604075000,1582604075000,,2,亚洲,7,韩国,,,863,893,0,22,8,,0,zhangjing1,951004
503602,1582604075000,1582604075000,,2,其他,10,钻石公主号邮轮,,,688,691,0,0,3,,0,zhangjing1,0
503584,1582604075000,1582604075000,,2,欧洲,10,意大利,,,221,229,0,1,7,,0,zhangjing1,965008
503570,1582604075000,1582604075000,,2,亚洲,6,日本,,,136,159,0,22,1,,0,zhangjing1,951002
503572,1582604075000,1582604075000,,2,北美洲,8,美国,,,50,53,0,3,0,,0,zhangjing1,971002
503627,1582604075000,1582604075000,,2,亚洲,10,伊朗,,,49,61,0,0,12,,0,zhangjing1,955007
503567,1582604075000,1582604075000,,2,亚洲,3,新加坡,,,37,90,0,53,0,,0,zhangjing1,952009
503566,1582604075000,1582604075000,,2,亚洲,2,泰国,,,14,35,0,21,0,,0,zhangjing1,952010
503581,1582604075000,1582604075000,,2,亚洲,10,阿联酋,,,9,13,0,4,0,,0,zhangjing1,955019
503575,1582604075000,1582604075000,,2,大洋洲,10,澳大利亚,,,7,22,0,15,0,,0,zhangjing1,990001
503576,1582604075000,1582604075000,,2,北美洲,10,加拿大,,,7,11,0,4,0,,0,zhangjing1,971001
503585,1582604075000,1582604075000,,2,欧洲,10,英国,,,5,13,0,8,0,,0,zhangjing1,961007
503935,1582604075000,1582604075000,,2,亚洲,10,科威特,,,5,5,0,0,0,,0,zhangjing1,955011
503568,1582604075000,1582604075000,,2,亚洲,4,马来西亚,,,4,22,0,18,0,,0,zhangjing1,952007
503573,1582604075000,1582604075000,,2,亚洲,9,越南,,,2,16,0,14,0,,0,zhangjing1,952011
503578,1582604075000,1582604075000,,2,欧洲,10,德国,,,2,16,0,14,0,,0,zhangjing1,963003
503642,1582604075000,1582604075000,,2,亚洲,10,以色列,,,2,2,0,0,0,,0,zhangjing1,955009
503936,1582604075000,1582604075000,,2,亚洲,10,巴林,,,2,2,0,0,0,,0,zhangjing1,955004
503951,1582604075000,1582604075000,,2,亚洲,10,阿曼,,,2,2,0,0,0,,0,zhangjing1,955013
503587,1582604075000,1582604075000,,2,欧洲,10,西班牙,,,1,3,0,2,0,,0,zhangjing1,965015
503588,1582604075000,1582604075000,,2,欧洲,10,瑞典,,,1,1,0,0,0,,0,zhangjing1,962005
503589,1582604075000,1582604075000,,2,亚洲,10,菲律宾,,,1,3,0,1,1,,0,zhangjing1,952008
503601,1582604075000,1582604075000,,2,非洲,10,埃及,,,1,1,0,0,0,,0,zhangjing1,981002
503643,1582604075000,1582604075000,,2,亚洲,10,黎巴嫩,,,1,1,0,0,0,,0,zhangjing1,955012
503717,1582604075000,1582604075000,,2,亚洲,10,伊拉克,,,1,1,0,0,0,,0,zhangjing1,955008
503937,1582604075000,1582604075000,,2,亚洲,10,阿富汗,,,1,1,0,0,0,,0,zhangjing1,955001
503569,1582604075000,1582604075000,,2,欧洲,5,法国,,,0,12,0,11,1,,0,zhangjing1,961002
503574,1582604075000,1582604075000,,2,亚洲,10,尼泊尔,,,0,1,0,1,0,,0,zhangjing1,953005
503577,1582604075000,1582604075000,,2,亚洲,10,柬埔寨,,,0,1,0,1,0,,0,zhangjing1,952003
503579,1582604075000,1582604075000,,2,亚洲,10,斯里兰卡,,,0,1,0,1,0,,0,zhangjing1,953007
503582,1582604075000,1582604075000,,2,欧洲,10,芬兰,,,0,1,0,1,0,,0,zhangjing1,962002
503583,1582604075000,1582604075000,,2,亚洲,10,印度,,,0,3,0,3,0,,0,zhangjing1,953003
503586,1582604075000,1582604075000,,2,欧洲,10,俄罗斯,,,0,2,0,2,0,,0,zhangjing1,964006
503600,1582604075000,1582604075000,,2,欧洲,10,比利时,,,0,1,0,1,0,,0,zhangjing1,961001
