id,createTime,modifyTime,tags,countryType,continents,provinceId,provinceName,provinceShortName,cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,comment,sort,operator,locationId,countryShortCode
933500,1583803847000,1583803847000,,2,欧洲,10,意大利,,,7985,9172,0,724,463,,0,wangbingbing,965008,ITA
933487,1583803847000,1583803847000,,2,亚洲,7,韩国,,,7212,7513,0,247,54,,0,wangbingbing,951004,KOR
933530,1583803847000,1583803847000,,2,亚洲,10,伊朗,,,4730,7161,0,2194,237,,0,wangbingbing,955007,IRN
933485,1583803847000,1583803847000,,2,欧洲,5,法国,,,1375,1412,0,12,25,,0,wangbingbing,961002,FRA
933502,1583803847000,1583803847000,,2,欧洲,10,西班牙,,,1174,1204,0,2,28,,0,wangbingbing,965015,ESP
933494,1583803847000,1583803847000,,2,欧洲,10,德国,,,1123,1139,0,14,2,,0,wangbingbing,963003,DEU
933517,1583803847000,1583803847000,,2,其他,10,钻石公主号邮轮,,,690,696,0,0,6,,0,wangbingbing,0,Princess
933488,1583803847000,1583803847000,,2,北美洲,8,美国,,,541,572,0,10,21,,0,wangbingbing,971002,USA
933486,1583803847000,1583803847000,,2,亚洲,6,日本,,,459,514,0,46,9,,0,wangbingbing,951002,JPN
933594,1583803847000,1583803847000,,2,欧洲,10,英国,,,309,319,0,8,2,,0,wangbingbing,961007,GBR
933539,1583803847000,1583803847000,,2,欧洲,10,瑞士,,,307,312,0,3,2,,0,wangbingbing,963008,CHE
933503,1583803847000,1583803847000,,2,欧洲,10,瑞典,,,260,260,0,0,0,,0,wangbingbing,962005,SWE
933515,1583803847000,1583803847000,,2,欧洲,10,比利时,,,238,239,0,1,0,,0,wangbingbing,961001,BEL
933550,1583803847000,1583803847000,,2,欧洲,10,荷兰,,,187,188,0,0,1,,0,wangbingbing,961006,NLD
933548,1583803847000,1583803847000,,2,欧洲,10,挪威,,,169,169,0,0,0,,0,wangbingbing,962004,NOR
933541,1583803847000,1583803847000,,2,欧洲,10,奥地利,,,129,131,0,2,0,,0,wangbingbing,963001,AUT
933535,1583803847000,1583803847000,,2,亚洲,10,巴林,,,95,109,0,14,0,,0,wangbingbing,955004,BHR
933484,1583803847000,1583803847000,,2,亚洲,4,马来西亚,,,94,117,0,23,0,,0,wangbingbing,952007,MYS
933542,1583803847000,1583803847000,,2,欧洲,10,希腊,,,84,84,0,0,0,,0,wangbingbing,965007,GRC
933492,1583803847000,1583803847000,,2,北美洲,10,加拿大,,,72,77,0,4,1,,0,wangbingbing,971001,CAN
933557,1583803847000,1583803847000,,2,欧洲,10,冰岛,,,60,60,0,0,0,,0,wangbingbing,962003,ISL
933491,1583803847000,1583803847000,,2,大洋洲,10,澳大利亚,,,58,83,0,22,3,,0,wangbingbing,990001,AUS
933534,1583803847000,1583803847000,,2,亚洲,10,科威特,,,58,58,0,0,0,,0,wangbingbing,955011,KWT
933547,1583803847000,1583803847000,,2,欧洲,10,丹麦,,,58,59,0,1,0,,0,wangbingbing,962001,DNK
933483,1583803847000,1583803847000,,2,亚洲,3,新加坡,,,56,138,0,82,0,,0,wangbingbing,952009,SGP
933533,1583803847000,1583803847000,,2,亚洲,10,伊拉克,,,51,67,0,9,7,,0,wangbingbing,955008,IRQ
933599,1583803847000,1583803847000,,2,欧洲,10,圣马力诺,,,49,51,0,0,2,,0,wangbingbing,965012,SMR
933531,1583803847000,1583803847000,,2,亚洲,10,以色列,,,48,50,0,2,0,,0,wangbingbing,955009,ISR
933516,1583803847000,1583803847000,,2,非洲,10,埃及,,,47,59,0,12,0,,0,wangbingbing,981002,EGY
933499,1583803847000,1583803847000,,2,亚洲,10,印度,,,44,47,0,3,0,,0,wangbingbing,953003,IND
933497,1583803847000,1583803847000,,2,亚洲,10,阿联酋,,,38,45,0,7,0,,0,wangbingbing,955019,ARE
933601,1583803847000,1583803847000,,2,欧洲,10,捷克,,,38,38,0,0,0,,0,wangbingbing,963002,CZE
933532,1583803847000,1583803847000,,2,亚洲,10,黎巴嫩,,,31,32,0,1,0,,0,wangbingbing,955012,LBN
933659,1583803847000,1583803847000,,2,欧洲,10,葡萄牙,,,30,30,0,0,0,,0,wangbingbing,965010,PRT
933498,1583803847000,1583803847000,,2,欧洲,10,芬兰,,,29,30,0,1,0,,0,wangbingbing,962002,FIN
933544,1583803847000,1583803847000,,2,南美洲,10,巴西,,,25,25,0,0,0,,0,wangbingbing,973003,BRA
933596,1583803847000,1583803847000,,2,欧洲,10,爱尔兰,,,24,24,0,0,0,,0,wangbingbing,961003,IRL
933753,1583803847000,1583803847000,,2,欧洲,10,斯洛文尼亚,,,23,23,0,0,0,,0,wangbingbing,965014,SVN
933504,1583803847000,1583803847000,,2,亚洲,10,菲律宾,,,22,24,0,1,1,,0,wangbingbing,952008,PHL
933774,1583803848000,1583803848000,,2,其他,10,至尊公主邮轮,,,21,21,0,0,0,,0,wangbingbing,0,Grand Princess
933606,1583803847000,1583803847000,,2,亚洲,10,沙特阿拉伯,,,20,20,0,0,0,,0,wangbingbing,955016,SAU
933540,1583803847000,1583803847000,,2,非洲,10,阿尔及利亚,,,19,19,0,0,0,,0,wangbingbing,981001,DZA
933767,1583803847000,1583803847000,,2,亚洲,10,巴勒斯坦,,,19,19,0,0,0,,0,wangbingbing,955014,PSE
933482,1583803847000,1583803847000,,2,亚洲,2,泰国,,,18,50,0,31,1,,0,wangbingbing,952010,THA
933595,1583803847000,1583803847000,,2,亚洲,10,卡塔尔,,,18,18,0,0,0,,0,wangbingbing,955015,QAT
933751,1583803847000,1583803847000,,2,欧洲,10,波兰,,,17,17,0,0,0,,0,wangbingbing,963006,POL
933543,1583803847000,1583803847000,,2,亚洲,10,巴基斯坦,,,15,16,0,1,0,,0,wangbingbing,953006,PAK
933537,1583803847000,1583803847000,,2,亚洲,10,阿曼,,,14,16,0,2,0,,0,wangbingbing,955013,OMN
933545,1583803847000,1583803847000,,2,欧洲,10,罗马尼亚,,,14,17,0,3,0,,0,wangbingbing,965011,ROU
933538,1583803847000,1583803847000,,2,欧洲,10,克罗地亚,,,13,13,0,0,0,,0,wangbingbing,965005,HRV
933598,1583803847000,1583803847000,,2,南美洲,10,厄瓜多尔,,,13,13,0,0,0,,0,wangbingbing,973006,ECU
933604,1583803847000,1583803847000,,2,亚洲,10,格鲁吉亚,,,13,13,0,0,0,,0,wangbingbing,955006,GEO
933672,1583803847000,1583803847000,,2,南美洲,10,阿根廷,,,11,12,0,0,1,,0,wangbingbing,973001,ARG
933546,1583803847000,1583803847000,,2,欧洲,10,爱沙尼亚,,,10,10,0,0,0,,0,wangbingbing,964002,EST
933752,1583803847000,1583803847000,,2,欧洲,10,匈牙利,,,9,9,0,0,0,,0,wangbingbing,963004,HUN
933775,1583803848000,1583803848000,,2,北美洲,10,哥斯达黎加,,,9,9,0,0,0,,0,wangbingbing,972002,CRI
933671,1583803847000,1583803847000,,2,南美洲,10,智利,,,8,8,0,0,0,,0,wangbingbing,973004,CHL
933501,1583803847000,1583803847000,,2,欧洲,10,俄罗斯,,,7,10,0,3,0,,0,wangbingbing,964006,RUS
933799,1583803848000,1583803848000,,2,欧洲,10,斯洛伐克,,,7,7,0,0,0,,0,wangbingbing,963007,SVK
933554,1583803847000,1583803847000,,2,欧洲,10,白俄罗斯,,,6,6,0,0,0,,0,wangbingbing,964001,BLR
933556,1583803847000,1583803847000,,2,北美洲,10,墨西哥,,,6,7,0,1,0,,0,wangbingbing,971003,MEX
933700,1583803847000,1583803847000,,2,欧洲,10,拉脱维亚,,,6,6,0,0,0,,0,wangbingbing,964003,LVA
933773,1583803848000,1583803848000,,2,南美洲,10,秘鲁,,,6,6,0,0,0,,0,wangbingbing,973008,PER
933798,1583803848000,1583803848000,,2,亚洲,10,马尔代夫,,,6,6,0,0,0,,0,wangbingbing,953004,MDV
933489,1583803847000,1583803847000,,2,亚洲,9,越南,,,5,21,0,16,0,,0,wangbingbing,952011,VNM
933553,1583803847000,1583803847000,,2,大洋洲,10,新西兰,,,5,5,0,0,0,,0,wangbingbing,990007,NZL
933597,1583803847000,1583803847000,,2,欧洲,10,卢森堡,,,5,5,0,0,0,,0,wangbingbing,961004,LUX
933699,1583803847000,1583803847000,,2,非洲,10,突尼斯,,,5,5,0,0,0,,0,wangbingbing,981006,TUN
933536,1583803847000,1583803847000,,2,亚洲,10,阿富汗,,,4,4,0,0,0,,0,wangbingbing,955001,AFG
933603,1583803847000,1583803847000,,2,亚洲,10,印度尼西亚,,,4,4,0,0,0,,0,wangbingbing,952005,IDN
933656,1583803847000,1583803847000,,2,非洲,10,塞内加尔,,,4,4,0,0,0,,0,wangbingbing,982014,SEN
933549,1583803847000,1583803847000,,2,欧洲,10,北马其顿,,,3,3,0,0,0,,0,wangbingbing,0,MKD
933555,1583803847000,1583803847000,,2,亚洲,10,阿塞拜疆,,,3,3,0,0,0,,0,wangbingbing,955003,AZE
933755,1583803847000,1583803847000,,2,欧洲,10,波黑,,,3,3,0,0,0,,0,wangbingbing,965003,BIH
933551,1583803847000,1583803847000,,2,非洲,10,尼日利亚,,,2,2,0,0,0,,0,wangbingbing,982013,NGA
933770,1583803848000,1583803848000,,2,非洲,10,喀麦隆,,,2,2,0,0,0,,0,wangbingbing,983001,CMR
933771,1583803848000,1583803848000,,2,欧洲,10,塞尔维亚,,,2,2,0,0,0,,0,wangbingbing,965013,SRB
933772,1583803848000,1583803848000,,2,非洲,10,南非,,,2,2,0,0,0,,0,wangbingbing,984011,ZAF
933802,1583803848000,1583803848000,,2,欧洲,10,保加利亚,,,2,2,0,0,0,,0,wangbingbing,965004,BGR
933843,1583803848000,1583803848000,,2,非洲,10,布基纳法索,,,2,2,0,0,0,,0,wangbingbing,982002,BFA
933844,1583803848000,1583803848000,,2,欧洲,10,阿尔巴尼亚,,,2,2,0,0,0,,0,wangbingbing,965001,ALB
933845,1583803848000,1583803848000,,2,亚洲,10,塞浦路斯,,,2,2,0,0,0,,0,wangbingbing,955005,CYP
933493,1583803847000,1583803847000,,2,亚洲,10,柬埔寨,,,1,2,0,1,0,,0,wangbingbing,952003,KHM
933552,1583803847000,1583803847000,,2,欧洲,10,立陶宛,,,1,1,0,0,0,,0,wangbingbing,964004,LTU
933573,1583803847000,1583803847000,,2,欧洲,10,摩纳哥,,,1,1,0,0,0,,0,wangbingbing,961005,MCO
933600,1583803847000,1583803847000,,2,亚洲,10,亚美尼亚,,,1,1,0,0,0,,0,wangbingbing,955002,ARM
933602,1583803847000,1583803847000,,2,北美洲,10,多米尼加,,,1,1,0,0,0,,0,wangbingbing,974006,DOM
933605,1583803847000,1583803847000,,2,欧洲,10,安道尔,,,1,1,0,0,0,,0,wangbingbing,965002,AND
933655,1583803847000,1583803847000,,2,欧洲,10,乌克兰,,,1,1,0,0,0,,0,wangbingbing,964007,UKR
933657,1583803847000,1583803847000,,2,非洲,10,摩洛哥,,,1,1,0,0,0,,0,wangbingbing,981004,MAR
933658,1583803847000,1583803847000,,2,亚洲,10,约旦,,,1,1,0,0,0,,0,wangbingbing,955010,JOR
933688,1583803847000,1583803847000,,2,欧洲,10,列支敦士登,,,1,1,0,0,0,,0,wangbingbing,963005,LIE
933768,1583803847000,1583803847000,,2,亚洲,10,不丹,,,1,1,0,0,0,,0,wangbingbing,953002,BTN
933769,1583803847000,1583803847000,,2,欧洲,10,梵蒂冈,,,1,1,0,0,0,,0,wangbingbing,965017,VAT
933776,1583803848000,1583803848000,,2,南美洲,10,哥伦比亚,,,1,1,0,0,0,,0,wangbingbing,973005,COL
933796,1583803848000,1583803848000,,2,非洲,10,多哥,,,1,1,0,0,0,,0,wangbingbing,982016,TGO
933797,1583803848000,1583803848000,,2,南美洲,10,巴拉圭,,,1,1,0,0,0,,0,wangbingbing,973009,PRY
933800,1583803848000,1583803848000,,2,欧洲,10,马耳他,,,1,1,0,0,0,,0,wangbingbing,965019,MLT
933803,1583803848000,1583803848000,,2,欧洲,10,摩尔多瓦,,,1,1,0,0,0,,0,wangbingbing,964005,MDA
934024,1583803848000,1583803848000,,2,亚洲,10,蒙古,,,1,1,0,0,0,,0,wangbingbing,0,MNG
933490,1583803847000,1583803847000,,2,亚洲,10,尼泊尔,,,0,1,0,1,0,,0,wangbingbing,953005,NPL
933495,1583803847000,1583803847000,,2,亚洲,10,斯里兰卡,,,0,1,0,1,0,,0,wangbingbing,953007,LKA
