id,createTime,modifyTime,tags,countryType,continents,provinceId,provinceName,provinceShortName,cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,comment,sort,operator,locationId
181447,1581824835000,1581824835000,,2,亚洲,6,日本,,,395,408,0,12,1,,0,wangjinyuan,951002
181444,1581824835000,1581824835000,,2,亚洲,3,新加坡,,,54,72,0,18,0,,0,wangjinyuan,952009
181443,1581824835000,1581824835000,,2,亚洲,2,泰国,,,20,34,0,14,0,,0,wangjinyuan,952010
181448,1581824835000,1581824835000,,2,亚洲,7,韩国,,,20,29,0,9,0,,0,wangjinyuan,951004
181445,1581824835000,1581824835000,,2,亚洲,4,马来西亚,,,15,22,0,7,0,,0,wangjinyuan,952007
181455,1581824835000,1581824835000,,2,欧洲,10,德国,,,15,16,0,1,0,,0,wangjinyuan,963003
181449,1581824835000,1581824835000,,2,北美洲,8,美国,,,12,15,0,3,0,,0,wangjinyuan,971002
181452,1581824835000,1581824835000,,2,大洋洲,10,澳大利亚,,,10,15,0,5,0,,0,wangjinyuan,990001
181450,1581824835000,1581824835000,,2,亚洲,9,越南,,,9,16,0,7,0,,0,wangjinyuan,952011
181446,1581824835000,1581824835000,,2,欧洲,5,法国,,,7,12,0,4,1,,0,wangjinyuan,961002
181453,1581824835000,1581824835000,,2,北美洲,10,加拿大,,,6,8,0,2,0,,0,wangjinyuan,971001
181458,1581824835000,1581824835000,,2,亚洲,10,阿联酋,,,4,8,0,4,0,,0,wangjinyuan,955019
181461,1581824835000,1581824835000,,2,欧洲,10,意大利,,,3,3,0,0,0,,0,wangjinyuan,965008
181464,1581824835000,1581824835000,,2,欧洲,10,西班牙,,,2,2,0,0,0,,0,wangjinyuan,965015
181451,1581824835000,1581824835000,,2,亚洲,10,尼泊尔,,,1,1,0,0,0,,0,wangjinyuan,953005
181456,1581824835000,1581824835000,,2,亚洲,10,斯里兰卡,,,1,1,0,0,0,,0,wangjinyuan,953007
181460,1581824835000,1581824835000,,2,亚洲,10,印度,,,1,3,0,2,0,,0,wangjinyuan,953003
181462,1581824835000,1581824835000,,2,欧洲,10,英国,,,1,9,0,8,0,,0,wangjinyuan,961007
181465,1581824835000,1581824835000,,2,欧洲,10,瑞典,,,1,1,0,0,0,,0,wangjinyuan,962005
181466,1581824835000,1581824835000,,2,亚洲,10,菲律宾,,,1,3,0,1,1,,0,wangjinyuan,952008
181477,1581824835000,1581824835000,,2,欧洲,10,比利时,,,1,1,0,0,0,,0,wangjinyuan,961001
181531,1581824835000,1581824835000,,2,非洲,10,埃及,,,1,1,0,0,0,,0,wangjinyuan,981002
181454,1581824835000,1581824835000,,2,亚洲,10,柬埔寨,,,0,1,0,1,0,,0,wangjinyuan,952003
181459,1581824835000,1581824835000,,2,欧洲,10,芬兰,,,0,1,0,1,0,,0,wangjinyuan,962002
181463,1581824835000,1581824835000,,2,欧洲,10,俄罗斯,,,0,2,0,2,0,,0,wangjinyuan,964006
