provinceName,provinceShortName,confirmedCount_sum,suspectedCount_sum,curedCount_sum,deadCount_sum,comment,locationId_s,cityName,confirmedCount,suspectedCount,curedCount,deadCount,locationId
湖北省,湖北,22112,0,817,618,,420000,武汉,11618,0,535,478,420100
湖北省,湖北,22112,0,817,618,,420000,孝感,2141,0,25,25,420900
湖北省,湖北,22112,0,817,618,,420000,黄冈,1897,0,68,32,421100
湖北省,湖北,22112,0,817,618,,420000,随州,915,0,9,9,421300
湖北省,湖北,22112,0,817,618,,420000,荆州,885,0,22,10,421000
湖北省,湖北,22112,0,817,618,,420000,襄阳,838,0,29,3,420600
湖北省,湖北,22112,0,817,618,,420000,黄石,635,0,31,2,420200
湖北省,湖北,22112,0,817,618,,420000,宜昌,610,0,11,7,420500
湖北省,湖北,22112,0,817,618,,420000,荆门,553,0,24,17,420800
湖北省,湖北,22112,0,817,618,,420000,鄂州,471,0,9,18,420700
湖北省,湖北,22112,0,817,618,,420000,咸宁,443,0,6,1,421200
湖北省,湖北,22112,0,817,618,,420000,十堰,395,0,24,0,420300
湖北省,湖北,22112,0,817,618,,420000,仙桃,307,0,11,5,429004
湖北省,湖北,22112,0,817,618,,420000,天门,163,0,1,10,429006
湖北省,湖北,22112,0,817,618,,420000,恩施州,157,0,10,0,422800
湖北省,湖北,22112,0,817,618,,420000,潜江,74,0,0,1,429005
湖北省,湖北,22112,0,817,618,,420000,神农架林区,10,0,2,0,429021
广东省,广东,1018,0,69,1,,440000,深圳,334,0,22,0,440300
广东省,广东,1018,0,69,1,,440000,广州,284,0,20,0,440100
广东省,广东,1018,0,69,1,,440000,珠海,73,0,4,0,440400
广东省,广东,1018,0,69,1,,440000,佛山,57,0,4,0,440600
广东省,广东,1018,0,69,1,,440000,东莞,53,0,1,0,441900
广东省,广东,1018,0,69,1,,440000,中山,46,0,4,0,442000
广东省,广东,1018,0,69,1,,440000,惠州,39,0,1,0,441300
广东省,广东,1018,0,69,1,,440000,汕头,22,0,3,0,440500
广东省,广东,1018,0,69,1,,440000,湛江,19,0,4,0,440800
广东省,广东,1018,0,69,1,,440000,肇庆,14,0,1,1,441200
广东省,广东,1018,0,69,1,,440000,阳江,13,0,0,0,441700
广东省,广东,1018,0,69,1,,440000,梅州,12,0,0,0,441400
广东省,广东,1018,0,69,1,,440000,江门,11,0,1,0,440700
广东省,广东,1018,0,69,1,,440000,清远,10,0,2,0,441800
广东省,广东,1018,0,69,1,,440000,揭阳,7,0,0,0,445200
广东省,广东,1018,0,69,1,,440000,韶关,6,0,1,0,440200
广东省,广东,1018,0,69,1,,440000,茂名,6,0,0,0,440900
广东省,广东,1018,0,69,1,,440000,汕尾,5,0,1,0,441500
广东省,广东,1018,0,69,1,,440000,潮州,5,0,0,0,445100
广东省,广东,1018,0,69,1,,440000,河源,2,0,0,0,441600
浙江省,浙江,1006,0,98,0,,330000,温州,421,0,36,0,330300
浙江省,浙江,1006,0,98,0,,330000,杭州,156,0,15,0,330100
浙江省,浙江,1006,0,98,0,,330000,宁波,136,0,9,0,330200
浙江省,浙江,1006,0,98,0,,330000,台州,129,0,14,0,331000
浙江省,浙江,1006,0,98,0,,330000,金华,48,0,9,0,330700
浙江省,浙江,1006,0,98,0,,330000,嘉兴,35,0,1,0,330400
浙江省,浙江,1006,0,98,0,,330000,绍兴,34,0,3,0,330600
浙江省,浙江,1006,0,98,0,,330000,丽水,16,0,1,0,331100
浙江省,浙江,1006,0,98,0,,330000,衢州,15,0,2,0,330800
浙江省,浙江,1006,0,98,0,,330000,湖州,9,0,1,0,330500
浙江省,浙江,1006,0,98,0,,330000,舟山,7,0,3,0,330900
浙江省,浙江,1006,0,98,0,,330000,待明确地区,0,0,4,0,0
河南省,河南,914,0,68,3,参考卫健委统计口径，部分县区与地级市合并,410000,信阳,176,0,9,0,411500
河南省,河南,914,0,68,3,参考卫健委统计口径，部分县区与地级市合并,410000,南阳,118,0,3,2,411300
河南省,河南,914,0,68,3,参考卫健委统计口径，部分县区与地级市合并,410000,郑州,112,0,13,0,410100
河南省,河南,914,0,68,3,参考卫健委统计口径，部分县区与地级市合并,410000,驻马店,106,0,2,0,411700
河南省,河南,914,0,68,3,参考卫健委统计口径，部分县区与地级市合并,410000,商丘,72,0,4,0,411400
河南省,河南,914,0,68,3,参考卫健委统计口径，部分县区与地级市合并,410000,周口,60,0,1,0,411600
河南省,河南,914,0,68,3,参考卫健委统计口径，部分县区与地级市合并,410000,平顶山,46,0,0,0,410400
河南省,河南,914,0,68,3,参考卫健委统计口径，部分县区与地级市合并,410000,新乡,41,0,2,0,410700
河南省,河南,914,0,68,3,参考卫健委统计口径，部分县区与地级市合并,410000,安阳,40,0,1,0,410500
河南省,河南,914,0,68,3,参考卫健委统计口径，部分县区与地级市合并,410000,许昌,28,0,0,0,411000
河南省,河南,914,0,68,3,参考卫健委统计口径，部分县区与地级市合并,410000,漯河,26,0,1,0,411100
河南省,河南,914,0,68,3,参考卫健委统计口径，部分县区与地级市合并,410000,洛阳,24,0,1,0,410300
河南省,河南,914,0,68,3,参考卫健委统计口径，部分县区与地级市合并,410000,开封,20,0,1,0,410200
河南省,河南,914,0,68,3,参考卫健委统计口径，部分县区与地级市合并,410000,焦作,18,0,1,0,410800
河南省,河南,914,0,68,3,参考卫健委统计口径，部分县区与地级市合并,410000,鹤壁,11,0,0,0,410600
河南省,河南,914,0,68,3,参考卫健委统计口径，部分县区与地级市合并,410000,三门峡,7,0,2,0,411200
河南省,河南,914,0,68,3,参考卫健委统计口径，部分县区与地级市合并,410000,濮阳,5,0,0,0,410900
河南省,河南,914,0,68,3,参考卫健委统计口径，部分县区与地级市合并,410000,济源,4,0,0,0,419001
河南省,河南,914,0,68,3,参考卫健委统计口径，部分县区与地级市合并,410000,未知地区,0,0,27,1,0
湖南省,湖南,772,0,91,0,,430000,长沙,190,0,10,0,430100
湖南省,湖南,772,0,91,0,,430000,岳阳,107,0,4,0,430600
湖南省,湖南,772,0,91,0,,430000,邵阳,83,0,9,0,430500
湖南省,湖南,772,0,91,0,,430000,常德,64,0,14,0,430700
湖南省,湖南,772,0,91,0,,430000,娄底,53,0,4,0,431300
湖南省,湖南,772,0,91,0,,430000,株洲,46,0,7,0,430200
湖南省,湖南,772,0,91,0,,430000,衡阳,43,0,8,0,430400
湖南省,湖南,772,0,91,0,,430000,益阳,43,0,6,0,430900
湖南省,湖南,772,0,91,0,,430000,永州,38,0,8,0,431100
湖南省,湖南,772,0,91,0,,430000,怀化,38,0,7,0,431200
湖南省,湖南,772,0,91,0,,430000,郴州,29,0,4,0,431000
湖南省,湖南,772,0,91,0,,430000,湘潭,25,0,7,0,430300
湖南省,湖南,772,0,91,0,,430000,湘西自治州,8,0,1,0,433100
湖南省,湖南,772,0,91,0,,430000,张家界,5,0,2,0,430800
