provinceName,provinceShortName,currentConfirmedCount...3,confirmedCount_sum,suspectedCount_sum,curedCount_sum,deadCount_sum,comment,locationId_s,cityName,currentConfirmedCount...11,confirmedCount,suspectedCount,curedCount,deadCount,locationId
湖北省,湖北,46537,51986,0,4131,1318,,420000,武汉,32689,35991,0,2286,1016,420100
湖北省,湖北,46537,51986,0,4131,1318,,420000,孝感,2697,3009,0,255,57,420900
湖北省,湖北,46537,51986,0,4131,1318,,420000,黄冈,2228,2791,0,504,59,421100
湖北省,湖北,46537,51986,0,4131,1318,,420000,荆州,1262,1447,0,158,27,421000
湖北省,湖北,46537,51986,0,4131,1318,,420000,随州,1118,1206,0,72,16,421300
湖北省,湖北,46537,51986,0,4131,1318,,420000,襄阳,1022,1111,0,73,16,420600
湖北省,湖北,46537,51986,0,4131,1318,,420000,鄂州,977,1125,0,116,32,420700
湖北省,湖北,46537,51986,0,4131,1318,,420000,黄石,795,943,0,137,11,420200
湖北省,湖北,46537,51986,0,4131,1318,,420000,宜昌,783,877,0,81,13,420500
湖北省,湖北,46537,51986,0,4131,1318,,420000,荆门,771,901,0,105,25,420800
湖北省,湖北,46537,51986,0,4131,1318,,420000,咸宁,625,732,0,99,8,421200
湖北省,湖北,46537,51986,0,4131,1318,,420000,十堰,495,586,0,89,2,420300
湖北省,湖北,46537,51986,0,4131,1318,,420000,仙桃,425,500,0,58,17,429004
湖北省,湖北,46537,51986,0,4131,1318,,420000,天门,385,416,0,21,10,429006
湖北省,湖北,46537,51986,0,4131,1318,,420000,恩施州,175,237,0,58,4,422800
湖北省,湖北,46537,51986,0,4131,1318,,420000,潜江,88,104,0,11,5,429005
湖北省,湖北,46537,51986,0,4131,1318,,420000,神农架林区,2,10,0,8,0,429021
广东省,广东,925,1261,0,334,2,,440000,深圳,306,400,0,94,0,440300
广东省,广东,925,1261,0,334,2,,440000,广州,235,328,0,93,0,440100
广东省,广东,925,1261,0,334,2,,440000,东莞,66,73,0,7,0,441900
广东省,广东,925,1261,0,334,2,,440000,珠海,64,91,0,27,0,440400
广东省,广东,925,1261,0,334,2,,440000,佛山,64,82,0,18,0,440600
广东省,广东,925,1261,0,334,2,,440000,中山,42,64,0,22,0,442000
广东省,广东,925,1261,0,334,2,,440000,惠州,42,56,0,14,0,441300
广东省,广东,925,1261,0,334,2,,440000,江门,18,22,0,4,0,440700
广东省,广东,925,1261,0,334,2,,440000,汕头,17,25,0,8,0,440500
广东省,广东,925,1261,0,334,2,,440000,湛江,11,22,0,11,0,440800
广东省,广东,925,1261,0,334,2,,440000,茂名,11,13,0,2,0,440900
广东省,广东,925,1261,0,334,2,,440000,肇庆,9,17,0,7,1,441200
广东省,广东,925,1261,0,334,2,,440000,阳江,8,13,0,5,0,441700
广东省,广东,925,1261,0,334,2,,440000,梅州,7,14,0,7,0,441400
广东省,广东,925,1261,0,334,2,,440000,清远,7,12,0,5,0,441800
广东省,广东,925,1261,0,334,2,,440000,韶关,5,8,0,3,0,440200
广东省,广东,925,1261,0,334,2,,440000,揭阳,5,8,0,3,0,445200
广东省,广东,925,1261,0,334,2,,440000,潮州,5,5,0,0,0,445100
广东省,广东,925,1261,0,334,2,,440000,汕尾,4,5,0,1,0,441500
广东省,广东,925,1261,0,334,2,,440000,河源,2,3,0,1,0,441600
