id,createTime,modifyTime,tags,countryType,continents,provinceId,provinceName,provinceShortName,cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,comment,sort,operator,locationId,countryShortCode
704547,1583116643000,1583116643000,,2,亚洲,7,韩国,,,4165,4212,0,30,17,,0,shenjia,951004,KOR
704560,1583116643000,1583116643000,,2,欧洲,10,意大利,,,1577,1694,0,83,34,,0,shenjia,965008,ITA
704602,1583116643000,1583116643000,,2,亚洲,10,伊朗,,,749,978,0,175,54,,0,shenjia,955007,IRN
704577,1583116643000,1583116643000,,2,其他,10,钻石公主号邮轮,,,699,705,0,0,6,,0,shenjia,0,Princess
704546,1583116643000,1583116643000,,2,亚洲,6,日本,,,204,250,0,41,5,,0,shenjia,951002,JPN
704545,1583116643000,1583116643000,,2,欧洲,5,法国,,,116,130,0,12,2,,0,shenjia,961002,FRA
704554,1583116643000,1583116643000,,2,欧洲,10,德国,,,103,117,0,14,0,,0,shenjia,963003,DEU
704548,1583116643000,1583116643000,,2,北美洲,8,美国,,,70,74,0,3,1,,0,shenjia,971002,USA
704562,1583116643000,1583116643000,,2,欧洲,10,西班牙,,,56,58,0,2,0,,0,shenjia,965015,ESP
704606,1583116643000,1583116643000,,2,亚洲,10,科威特,,,46,46,0,0,0,,0,shenjia,955011,KWT
704607,1583116643000,1583116643000,,2,亚洲,10,巴林,,,41,41,0,0,0,,0,shenjia,955004,BHR
704543,1583116643000,1583116643000,,2,亚洲,3,新加坡,,,30,102,0,72,0,,0,shenjia,952009,SGP
704757,1583116643000,1583116643000,,2,欧洲,10,英国,,,27,35,0,8,0,,0,shenjia,961007,GBR
704611,1583116643000,1583116643000,,2,欧洲,10,瑞士,,,24,24,0,0,0,,0,shenjia,963008,CHE
704648,1583116643000,1583116643000,,2,欧洲,10,挪威,,,17,17,0,0,0,,0,shenjia,962004,NOR
704552,1583116643000,1583116643000,,2,北美洲,10,加拿大,,,16,20,0,4,0,,0,shenjia,971001,CAN
704557,1583116643000,1583116643000,,2,亚洲,10,阿联酋,,,16,21,0,5,0,,0,shenjia,955019,ARE
704542,1583116643000,1583116643000,,2,亚洲,2,泰国,,,13,42,0,28,1,,0,shenjia,952010,THA
704563,1583116643000,1583116643000,,2,欧洲,10,瑞典,,,13,13,0,0,0,,0,shenjia,962005,SWE
704605,1583116643000,1583116643000,,2,亚洲,10,伊拉克,,,13,13,0,0,0,,0,shenjia,955008,IRQ
704551,1583116643000,1583116643000,,2,大洋洲,10,澳大利亚,,,12,28,0,15,1,,0,shenjia,990001,AUS
704544,1583116643000,1583116643000,,2,亚洲,4,马来西亚,,,11,29,0,18,0,,0,shenjia,952007,MYS
704613,1583116643000,1583116643000,,2,欧洲,10,奥地利,,,10,10,0,0,0,,0,shenjia,963001,AUT
704603,1583116643000,1583116643000,,2,亚洲,10,以色列,,,9,10,0,1,0,,0,shenjia,955009,ISR
704610,1583116643000,1583116643000,,2,欧洲,10,克罗地亚,,,7,7,0,0,0,,0,shenjia,965005,HRV
704614,1583116643000,1583116643000,,2,欧洲,10,希腊,,,7,7,0,0,0,,0,shenjia,965007,GRC
704650,1583116643000,1583116643000,,2,欧洲,10,荷兰,,,7,7,0,0,0,,0,shenjia,961006,NLD
704609,1583116643000,1583116643000,,2,亚洲,10,阿曼,,,5,6,0,1,0,,0,shenjia,955013,OMN
704666,1583116643000,1583116643000,,2,北美洲,10,墨西哥,,,4,4,0,0,0,,0,shenjia,971003,MEX
704604,1583116643000,1583116643000,,2,亚洲,10,黎巴嫩,,,3,3,0,0,0,,0,shenjia,955012,LBN
704615,1583116643000,1583116643000,,2,亚洲,10,巴基斯坦,,,3,3,0,0,0,,0,shenjia,953006,PAK
704644,1583116643000,1583116643000,,2,欧洲,10,罗马尼亚,,,3,3,0,0,0,,0,shenjia,965011,ROM
704645,1583116643000,1583116643000,,2,欧洲,10,格鲁吉亚,,,3,3,0,0,0,,0,shenjia,955006,GEO
704647,1583116643000,1583116643000,,2,欧洲,10,丹麦,,,3,3,0,0,0,,0,shenjia,962001,DNK
704665,1583116643000,1583116643000,,2,亚洲,10,阿塞拜疆,,,3,3,0,0,0,,0,shenjia,955003,AZE
704558,1583116643000,1583116643000,,2,欧洲,10,芬兰,,,2,3,0,1,0,,0,shenjia,962002,FIN
704616,1583116643000,1583116643000,,2,南美洲,10,巴西,,,2,2,0,0,0,,0,shenjia,973003,BRA
704564,1583116643000,1583116643000,,2,亚洲,10,菲律宾,,,1,3,0,1,1,,0,shenjia,952008,PHL
704575,1583116643000,1583116643000,,2,欧洲,10,比利时,,,1,2,0,1,0,,0,shenjia,961001,BEL
704608,1583116643000,1583116643000,,2,亚洲,10,阿富汗,,,1,1,0,0,0,,0,shenjia,955001,AFG
704612,1583116643000,1583116643000,,2,非洲,10,阿尔及利亚,,,1,1,0,0,0,,0,shenjia,981001,DZA
704646,1583116643000,1583116643000,,2,欧洲,10,爱沙尼亚,,,1,1,0,0,0,,0,shenjia,964002,EST
704649,1583116643000,1583116643000,,2,欧洲,10,北马其顿,,,1,1,0,0,0,,0,shenjia,0,MKD
704661,1583116643000,1583116643000,,2,非洲,10,尼日利亚,,,1,1,0,0,0,,0,shenjia,982013,NGA
704662,1583116643000,1583116643000,,2,欧洲,10,立陶宛,,,1,1,0,0,0,,0,shenjia,964004,LTU
704663,1583116643000,1583116643000,,2,大洋洲,10,新西兰,,,1,1,0,0,0,,0,shenjia,990007,NZL
704664,1583116643000,1583116643000,,2,欧洲,10,白俄罗斯,,,1,1,0,0,0,,0,shenjia,964001,BLR
704667,1583116643000,1583116643000,,2,欧洲,10,冰岛,,,1,1,0,0,0,,0,shenjia,962003,ISL
704694,1583116643000,1583116643000,,2,欧洲,10,摩纳哥,,,1,1,0,0,0,,0,shenjia,961005,MCO
704758,1583116643000,1583116643000,,2,亚洲,10,卡塔尔,,,1,1,0,0,0,,0,shenjia,955015,QAT
704770,1583116643000,1583116643000,,2,欧洲,10,爱尔兰,,,1,1,0,0,0,,0,shenjia,961003,IRL
704771,1583116643000,1583116643000,,2,欧洲,10,卢森堡,,,1,1,0,0,0,,0,shenjia,961004,LUX
704772,1583116643000,1583116643000,,2,南美洲,10,厄瓜多尔,,,1,1,0,0,0,,0,shenjia,973006,ECU
704923,1583116643000,1583116643000,,2,欧洲,10,圣马力诺,,,1,1,0,0,0,,0,shenjia,965012,SMR
704942,1583116643000,1583116643000,,2,亚洲,10,亚美尼亚,,,1,1,0,0,0,,0,shenjia,955002,ARM
704549,1583116643000,1583116643000,,2,亚洲,9,越南,,,0,16,0,16,0,,0,shenjia,952011,NVM
704550,1583116643000,1583116643000,,2,亚洲,10,尼泊尔,,,0,1,0,1,0,,0,shenjia,953005,NPL
704553,1583116643000,1583116643000,,2,亚洲,10,柬埔寨,,,0,1,0,1,0,,0,shenjia,952003,KHM
704555,1583116643000,1583116643000,,2,亚洲,10,斯里兰卡,,,0,1,0,1,0,,0,shenjia,953007,LKA
704559,1583116643000,1583116643000,,2,亚洲,10,印度,,,0,3,0,3,0,,0,shenjia,953003,IND
704561,1583116643000,1583116643000,,2,欧洲,10,俄罗斯,,,0,2,0,2,0,,0,shenjia,964006,RUS
704576,1583116643000,1583116643000,,2,非洲,10,埃及,,,0,1,0,1,0,,0,shenjia,981002,EGY
