id,createTime,modifyTime,tags,countryType,continents,provinceId,provinceName,provinceShortName,cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,comment,sort,operator,locationId
117028,1581650062000,1581650062000,,2,亚洲,6,日本,,,237,247,0,9,1,,0,liyilin,951002
117025,1581650062000,1581650062000,,2,亚洲,3,新加坡,,,43,58,0,15,0,,0,liyilin,952009
117024,1581650062000,1581650062000,,2,亚洲,2,泰国,,,23,33,0,10,0,,0,liyilin,952010
117029,1581650062000,1581650062000,,2,亚洲,7,韩国,,,21,28,0,7,0,,0,liyilin,951004
117026,1581650062000,1581650062000,,2,亚洲,4,马来西亚,,,16,19,0,3,0,,0,liyilin,952007
117036,1581650062000,1581650062000,,2,欧洲,10,德国,,,15,16,0,1,0,,0,liyilin,963003
117031,1581650062000,1581650062000,,2,亚洲,9,越南,,,13,16,0,3,0,,0,liyilin,952011
117030,1581650062000,1581650062000,,2,北美洲,8,美国,,,12,15,0,3,0,,0,liyilin,971002
117027,1581650062000,1581650062000,,2,欧洲,5,法国,,,11,11,0,0,0,,0,liyilin,961002
117033,1581650062000,1581650062000,,2,大洋洲,10,澳大利亚,,,10,15,0,5,0,,0,liyilin,990001
117043,1581650062000,1581650062000,,2,欧洲,10,英国,,,9,9,0,0,0,,0,liyilin,961007
117039,1581650062000,1581650062000,,2,亚洲,10,阿联酋,,,7,8,0,1,0,,0,liyilin,955019
117034,1581650062000,1581650062000,,2,北美洲,10,加拿大,,,5,7,0,2,0,,0,liyilin,971001
117041,1581650062000,1581650062000,,2,亚洲,10,印度,,,3,3,0,0,0,,0,liyilin,953003
117042,1581650062000,1581650062000,,2,欧洲,10,意大利,,,3,3,0,0,0,,0,liyilin,965008
117044,1581650062000,1581650062000,,2,欧洲,10,俄罗斯,,,2,2,0,0,0,,0,liyilin,964006
117045,1581650062000,1581650062000,,2,欧洲,10,西班牙,,,2,2,0,0,0,,0,liyilin,965015
117032,1581650062000,1581650062000,,2,亚洲,10,尼泊尔,,,1,1,0,0,0,,0,liyilin,953005
117037,1581650062000,1581650062000,,2,亚洲,10,斯里兰卡,,,1,1,0,0,0,,0,liyilin,953007
117046,1581650062000,1581650062000,,2,欧洲,10,瑞典,,,1,1,0,0,0,,0,liyilin,962005
117047,1581650062000,1581650062000,,2,亚洲,10,菲律宾,,,1,3,0,1,1,,0,liyilin,952008
117058,1581650062000,1581650062000,,2,欧洲,10,比利时,,,1,1,0,0,0,,0,liyilin,961001
117035,1581650062000,1581650062000,,2,亚洲,10,柬埔寨,,,0,1,0,1,0,,0,liyilin,952003
117040,1581650062000,1581650062000,,2,欧洲,10,芬兰,,,0,1,0,1,0,,0,liyilin,962002
