id,createTime,modifyTime,tags,countryType,continents,provinceId,provinceName,provinceShortName,cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,comment,sort,operator,locationId
540645,1582683526000,1582683526000,,2,亚洲,7,韩国,,,1114,1146,0,22,10,,0,zhangjing1,951004
540676,1582683526000,1582683526000,,2,其他,10,钻石公主号邮轮,,,688,691,0,0,3,,0,zhangjing1,0
540658,1582683526000,1582683526000,,2,欧洲,10,意大利,,,311,323,0,1,11,,0,zhangjing1,965008
540644,1582683526000,1582683526000,,2,亚洲,6,日本,,,147,170,0,22,1,,0,zhangjing1,951002
540701,1582683526000,1582683526000,,2,亚洲,10,伊朗,,,79,95,0,0,16,,0,zhangjing1,955007
540646,1582683526000,1582683526000,,2,北美洲,8,美国,,,50,53,0,3,0,,0,zhangjing1,971002
540641,1582683526000,1582683526000,,2,亚洲,3,新加坡,,,37,90,0,53,0,,0,zhangjing1,952009
540749,1582683526000,1582683526000,,2,亚洲,10,巴林,,,23,23,0,0,0,,0,zhangjing1,955004
540640,1582683526000,1582683526000,,2,亚洲,2,泰国,,,15,37,0,22,0,,0,zhangjing1,952010
540655,1582683526000,1582683526000,,2,亚洲,10,阿联酋,,,9,13,0,4,0,,0,zhangjing1,955019
540748,1582683526000,1582683526000,,2,亚洲,10,科威特,,,8,8,0,0,0,,0,zhangjing1,955011
540649,1582683526000,1582683526000,,2,大洋洲,10,澳大利亚,,,7,22,0,15,0,,0,zhangjing1,990001
540650,1582683526000,1582683526000,,2,北美洲,10,加拿大,,,7,11,0,4,0,,0,zhangjing1,971001
540716,1582683526000,1582683526000,,2,亚洲,10,以色列,,,6,6,0,0,0,,0,zhangjing1,955009
540659,1582683526000,1582683526000,,2,欧洲,10,英国,,,5,13,0,8,0,,0,zhangjing1,961007
540661,1582683526000,1582683526000,,2,欧洲,10,西班牙,,,5,7,0,2,0,,0,zhangjing1,965015
540642,1582683526000,1582683526000,,2,亚洲,4,马来西亚,,,4,22,0,18,0,,0,zhangjing1,952007
540652,1582683526000,1582683526000,,2,欧洲,10,德国,,,4,18,0,14,0,,0,zhangjing1,963003
540643,1582683526000,1582683526000,,2,欧洲,5,法国,,,2,14,0,11,1,,0,zhangjing1,961002
540751,1582683526000,1582683526000,,2,亚洲,10,阿曼,,,2,2,0,0,0,,0,zhangjing1,955013
540819,1582683526000,1582683526000,,2,欧洲,10,奥地利,,,2,2,0,0,0,,0,zhangjing1,963001
540662,1582683526000,1582683526000,,2,欧洲,10,瑞典,,,1,1,0,0,0,,0,zhangjing1,962005
540663,1582683526000,1582683526000,,2,亚洲,10,菲律宾,,,1,3,0,1,1,,0,zhangjing1,952008
540675,1582683526000,1582683526000,,2,非洲,10,埃及,,,1,1,0,0,0,,0,zhangjing1,981002
540717,1582683526000,1582683526000,,2,亚洲,10,黎巴嫩,,,1,1,0,0,0,,0,zhangjing1,955012
540731,1582683526000,1582683526000,,2,亚洲,10,伊拉克,,,1,1,0,0,0,,0,zhangjing1,955008
540750,1582683526000,1582683526000,,2,亚洲,10,阿富汗,,,1,1,0,0,0,,0,zhangjing1,955001
540764,1582683526000,1582683526000,,2,欧洲,10,克罗地亚,,,1,1,0,0,0,,0,zhangjing1,965005
540765,1582683526000,1582683526000,,2,欧洲,10,瑞士,,,1,1,0,0,0,,0,zhangjing1,963008
540778,1582683526000,1582683526000,,2,非洲,10,阿尔及利亚,,,1,1,0,0,0,,0,zhangjing1,981001
540647,1582683526000,1582683526000,,2,亚洲,9,越南,,,0,16,0,16,0,,0,zhangjing1,952011
540648,1582683526000,1582683526000,,2,亚洲,10,尼泊尔,,,0,1,0,1,0,,0,zhangjing1,953005
540651,1582683526000,1582683526000,,2,亚洲,10,柬埔寨,,,0,1,0,1,0,,0,zhangjing1,952003
540653,1582683526000,1582683526000,,2,亚洲,10,斯里兰卡,,,0,1,0,1,0,,0,zhangjing1,953007
540656,1582683526000,1582683526000,,2,欧洲,10,芬兰,,,0,1,0,1,0,,0,zhangjing1,962002
540657,1582683526000,1582683526000,,2,亚洲,10,印度,,,0,3,0,3,0,,0,zhangjing1,953003
540660,1582683526000,1582683526000,,2,欧洲,10,俄罗斯,,,0,2,0,2,0,,0,zhangjing1,964006
540674,1582683526000,1582683526000,,2,欧洲,10,比利时,,,0,1,0,1,0,,0,zhangjing1,961001
