id,createTime,modifyTime,tags,countryType,continents,provinceId,provinceName,provinceShortName,cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,comment,sort,operator,locationId
143684,1581736103000,1581736103000,,2,亚洲,6,日本,,,243,253,0,9,1,,0,zhangjing1,951002
143681,1581736103000,1581736103000,,2,亚洲,3,新加坡,,,50,67,0,17,0,,0,zhangjing1,952009
143680,1581736103000,1581736103000,,2,亚洲,2,泰国,,,23,33,0,10,0,,0,zhangjing1,952010
143685,1581736103000,1581736103000,,2,亚洲,7,韩国,,,21,28,0,7,0,,0,zhangjing1,951004
143682,1581736103000,1581736103000,,2,亚洲,4,马来西亚,,,16,19,0,3,0,,0,zhangjing1,952007
143692,1581736103000,1581736103000,,2,欧洲,10,德国,,,15,16,0,1,0,,0,zhangjing1,963003
143686,1581736103000,1581736103000,,2,北美洲,8,美国,,,12,15,0,3,0,,0,zhangjing1,971002
143683,1581736103000,1581736103000,,2,欧洲,5,法国,,,11,11,0,0,0,,0,zhangjing1,961002
143689,1581736103000,1581736103000,,2,大洋洲,10,澳大利亚,,,10,15,0,5,0,,0,zhangjing1,990001
143687,1581736103000,1581736103000,,2,亚洲,9,越南,,,9,16,0,7,0,,0,zhangjing1,952011
143699,1581736103000,1581736103000,,2,欧洲,10,英国,,,9,9,0,0,0,,0,zhangjing1,961007
143695,1581736103000,1581736103000,,2,亚洲,10,阿联酋,,,7,8,0,1,0,,0,zhangjing1,955019
143690,1581736103000,1581736103000,,2,北美洲,10,加拿大,,,5,7,0,2,0,,0,zhangjing1,971001
143697,1581736103000,1581736103000,,2,亚洲,10,印度,,,3,3,0,0,0,,0,zhangjing1,953003
143698,1581736103000,1581736103000,,2,欧洲,10,意大利,,,3,3,0,0,0,,0,zhangjing1,965008
143701,1581736103000,1581736103000,,2,欧洲,10,西班牙,,,2,2,0,0,0,,0,zhangjing1,965015
143688,1581736103000,1581736103000,,2,亚洲,10,尼泊尔,,,1,1,0,0,0,,0,zhangjing1,953005
143693,1581736103000,1581736103000,,2,亚洲,10,斯里兰卡,,,1,1,0,0,0,,0,zhangjing1,953007
143702,1581736103000,1581736103000,,2,欧洲,10,瑞典,,,1,1,0,0,0,,0,zhangjing1,962005
143703,1581736103000,1581736103000,,2,亚洲,10,菲律宾,,,1,3,0,1,1,,0,zhangjing1,952008
143714,1581736103000,1581736103000,,2,欧洲,10,比利时,,,1,1,0,0,0,,0,zhangjing1,961001
143785,1581736103000,1581736103000,,2,非洲,10,埃及,,,1,1,0,0,0,,0,zhangjing1,981002
143691,1581736103000,1581736103000,,2,亚洲,10,柬埔寨,,,0,1,0,1,0,,0,zhangjing1,952003
143696,1581736103000,1581736103000,,2,欧洲,10,芬兰,,,0,1,0,1,0,,0,zhangjing1,962002
143700,1581736103000,1581736103000,,2,欧洲,10,俄罗斯,,,0,2,0,2,0,,0,zhangjing1,964006
