provinceName,provinceShortName,currentConfirmedCount...3,confirmedCount_sum,suspectedCount_sum,curedCount_sum,deadCount_sum,comment,locationId_s,statisticsData,cityName,currentConfirmedCount...12,confirmedCount,suspectedCount,curedCount,deadCount,locationId
湖北省,湖北,43346,64786,0,18877,2563,,420000,https://file1.dxycdn.com/2020/0223/618/3398299751673487511-135.json,武汉,34691,47071,0,10337,2043,420100
湖北省,湖北,43346,64786,0,18877,2563,,420000,https://file1.dxycdn.com/2020/0223/618/3398299751673487511-135.json,孝感,2044,3482,0,1328,110,420900
湖北省,湖北,43346,64786,0,18877,2563,,420000,https://file1.dxycdn.com/2020/0223/618/3398299751673487511-135.json,黄冈,1038,2904,0,1760,106,421100
湖北省,湖北,43346,64786,0,18877,2563,,420000,https://file1.dxycdn.com/2020/0223/618/3398299751673487511-135.json,鄂州,848,1385,0,496,41,420700
湖北省,湖北,43346,64786,0,18877,2563,,420000,https://file1.dxycdn.com/2020/0223/618/3398299751673487511-135.json,荆州,758,1576,0,776,42,421000
湖北省,湖北,43346,64786,0,18877,2563,,420000,https://file1.dxycdn.com/2020/0223/618/3398299751673487511-135.json,随州,668,1305,0,601,36,421300
湖北省,湖北,43346,64786,0,18877,2563,,420000,https://file1.dxycdn.com/2020/0223/618/3398299751673487511-135.json,宜昌,569,926,0,328,29,420500
湖北省,湖北,43346,64786,0,18877,2563,,420000,https://file1.dxycdn.com/2020/0223/618/3398299751673487511-135.json,襄阳,552,1175,0,593,30,420600
湖北省,湖北,43346,64786,0,18877,2563,,420000,https://file1.dxycdn.com/2020/0223/618/3398299751673487511-135.json,荆门,451,920,0,432,37,420800
湖北省,湖北,43346,64786,0,18877,2563,,420000,https://file1.dxycdn.com/2020/0223/618/3398299751673487511-135.json,黄石,420,1008,0,557,31,420200
湖北省,湖北,43346,64786,0,18877,2563,,420000,https://file1.dxycdn.com/2020/0223/618/3398299751673487511-135.json,十堰,353,671,0,315,3,420300
湖北省,湖北,43346,64786,0,18877,2563,,420000,https://file1.dxycdn.com/2020/0223/618/3398299751673487511-135.json,咸宁,321,836,0,504,11,421200
湖北省,湖北,43346,64786,0,18877,2563,,420000,https://file1.dxycdn.com/2020/0223/618/3398299751673487511-135.json,仙桃,240,575,0,316,19,429004
湖北省,湖北,43346,64786,0,18877,2563,,420000,https://file1.dxycdn.com/2020/0223/618/3398299751673487511-135.json,天门,200,495,0,282,13,429006
湖北省,湖北,43346,64786,0,18877,2563,,420000,https://file1.dxycdn.com/2020/0223/618/3398299751673487511-135.json,恩施州,96,251,0,151,4,422800
湖北省,湖北,43346,64786,0,18877,2563,,420000,https://file1.dxycdn.com/2020/0223/618/3398299751673487511-135.json,潜江,96,195,0,91,8,429005
湖北省,湖北,43346,64786,0,18877,2563,,420000,https://file1.dxycdn.com/2020/0223/618/3398299751673487511-135.json,神农架林区,1,11,0,10,0,429021
广东省,广东,533,1347,0,807,7,,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json,深圳,165,417,0,249,3,440300
广东省,广东,533,1347,0,807,7,,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json,广州,135,346,0,210,1,440100
广东省,广东,533,1347,0,807,7,,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json,东莞,56,97,0,40,1,441900
广东省,广东,533,1347,0,807,7,,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json,佛山,48,84,0,36,0,440600
广东省,广东,533,1347,0,807,7,,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json,珠海,41,98,0,56,1,440400
广东省,广东,533,1347,0,807,7,,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json,中山,13,66,0,53,0,442000
广东省,广东,533,1347,0,807,7,,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json,惠州,13,62,0,49,0,441300
广东省,广东,533,1347,0,807,7,,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json,江门,13,23,0,10,0,440700
广东省,广东,533,1347,0,807,7,,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json,湛江,8,22,0,14,0,440800
广东省,广东,533,1347,0,807,7,,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json,肇庆,8,19,0,10,1,441200
广东省,广东,533,1347,0,807,7,,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json,茂名,7,14,0,7,0,440900
广东省,广东,533,1347,0,807,7,,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json,梅州,5,16,0,11,0,441400
广东省,广东,533,1347,0,807,7,,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json,汕头,4,25,0,21,0,440500
