id,createTime,modifyTime,tags,countryType,continents,provinceId,provinceName,provinceShortName,cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,comment,sort,operator,locationId,countryShortCode
784372,1583383313000,1583383313000,,2,亚洲,7,韩国,,,5689,5766,0,41,36,,0,zhangjing1,951004,KOR
784385,1583383313000,1583383313000,,2,欧洲,10,意大利,,,2706,3089,0,276,107,,0,zhangjing1,965008,ITA
784415,1583383313000,1583383313000,,2,亚洲,10,伊朗,,,2278,2922,0,552,92,,0,zhangjing1,955007,IRN
784402,1583383313000,1583383313000,,2,其他,10,钻石公主号邮轮,,,700,706,0,0,6,,0,zhangjing1,0,Princess
784371,1583383313000,1583383313000,,2,亚洲,6,日本,,,279,331,0,46,6,,0,zhangjing1,951002,JPN
784370,1583383313000,1583383313000,,2,欧洲,5,法国,,,241,257,0,12,4,,0,zhangjing1,961002,FRA
784379,1583383313000,1583383313000,,2,欧洲,10,德国,,,226,240,0,14,0,,0,zhangjing1,963003,DEU
784387,1583383313000,1583383313000,,2,欧洲,10,西班牙,,,162,165,0,2,1,,0,zhangjing1,965015,ESP
784373,1583383313000,1583383313000,,2,北美洲,8,美国,,,139,153,0,3,11,,0,zhangjing1,971002,USA
784498,1583383313000,1583383313000,,2,欧洲,10,英国,,,77,85,0,8,0,,0,zhangjing1,961007,GBR
784424,1583383313000,1583383313000,,2,欧洲,10,瑞士,,,64,66,0,2,0,,0,zhangjing1,963008,CHE
784419,1583383313000,1583383313000,,2,亚洲,10,科威特,,,56,56,0,0,0,,0,zhangjing1,955011,KWT
784420,1583383313000,1583383313000,,2,亚洲,10,巴林,,,49,49,0,0,0,,0,zhangjing1,955004,BHR
784388,1583383313000,1583383313000,,2,欧洲,10,瑞典,,,35,35,0,0,0,,0,zhangjing1,962005,SWE
784442,1583383313000,1583383313000,,2,欧洲,10,挪威,,,34,34,0,0,0,,0,zhangjing1,962004,NOR
784368,1583383313000,1583383313000,,2,亚洲,3,新加坡,,,33,112,0,79,0,,0,zhangjing1,952009,SGP
784418,1583383313000,1583383313000,,2,亚洲,10,伊拉克,,,30,32,0,0,2,,0,zhangjing1,955008,IRQ
784377,1583383313000,1583383313000,,2,北美洲,10,加拿大,,,29,33,0,4,0,,0,zhangjing1,971001,CAN
784369,1583383313000,1583383313000,,2,亚洲,4,马来西亚,,,28,50,0,22,0,,0,zhangjing1,952007,MYS
784384,1583383313000,1583383313000,,2,亚洲,10,印度,,,25,28,0,3,0,,0,zhangjing1,953003,IND
784426,1583383313000,1583383313000,,2,欧洲,10,奥地利,,,24,24,0,0,0,,0,zhangjing1,963001,AUT
784444,1583383313000,1583383313000,,2,欧洲,10,荷兰,,,24,24,0,0,0,,0,zhangjing1,961006,NLD
784382,1583383313000,1583383313000,,2,亚洲,10,阿联酋,,,22,27,0,5,0,,0,zhangjing1,955019,ARE
784400,1583383313000,1583383313000,,2,欧洲,10,比利时,,,22,23,0,1,0,,0,zhangjing1,961001,BEL
784451,1583383313000,1583383313000,,2,欧洲,10,冰岛,,,20,20,0,0,0,,0,zhangjing1,962003,ISL
784376,1583383313000,1583383313000,,2,大洋洲,10,澳大利亚,,,19,42,0,21,2,,0,zhangjing1,990001,AUS
784416,1583383313000,1583383313000,,2,亚洲,10,以色列,,,14,15,0,1,0,,0,zhangjing1,955009,ISR
784417,1583383313000,1583383313000,,2,亚洲,10,黎巴嫩,,,12,13,0,1,0,,0,zhangjing1,955012,LBN
784367,1583383313000,1583383313000,,2,亚洲,2,泰国,,,11,43,0,31,1,,0,zhangjing1,952010,THA
784422,1583383313000,1583383313000,,2,亚洲,10,阿曼,,,10,12,0,2,0,,0,zhangjing1,955013,OMN
