id,createTime,modifyTime,tags,countryType,continents,provinceId,provinceName,provinceShortName,cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,comment,sort,operator,locationId
598764,1582856739000,1582856739000,,2,亚洲,7,韩国,,,1987,2022,0,22,13,,0,wangbingbing,951004
598795,1582856739000,1582856739000,,2,其他,10,钻石公主号邮轮,,,701,705,0,0,4,,0,wangbingbing,0
598777,1582856739000,1582856739000,,2,欧洲,10,意大利,,,591,653,0,45,17,,0,wangbingbing,965008
598763,1582856739000,1582856739000,,2,亚洲,6,日本,,,188,214,0,22,4,,0,wangbingbing,951002
598820,1582856739000,1582856739000,,2,亚洲,10,伊朗,,,170,245,0,49,26,,0,wangbingbing,955007
598765,1582856739000,1582856739000,,2,北美洲,8,美国,,,57,60,0,3,0,,0,wangbingbing,971002
598857,1582856739000,1582856739000,,2,亚洲,10,科威特,,,43,43,0,0,0,,0,wangbingbing,955011
598771,1582856739000,1582856739000,,2,欧洲,10,德国,,,34,48,0,14,0,,0,wangbingbing,963003
598858,1582856739000,1582856739000,,2,亚洲,10,巴林,,,33,33,0,0,0,,0,wangbingbing,955004
598760,1582856739000,1582856739000,,2,亚洲,3,新加坡,,,31,93,0,62,0,,0,wangbingbing,952009
598762,1582856739000,1582856739000,,2,欧洲,5,法国,,,25,38,0,11,2,,0,wangbingbing,961002
598759,1582856739000,1582856739000,,2,亚洲,2,泰国,,,18,40,0,22,0,,0,wangbingbing,952010
598780,1582856739000,1582856739000,,2,欧洲,10,西班牙,,,11,13,0,2,0,,0,wangbingbing,965015
598774,1582856739000,1582856739000,,2,亚洲,10,阿联酋,,,9,13,0,4,0,,0,wangbingbing,955019
598768,1582856739000,1582856739000,,2,大洋洲,10,澳大利亚,,,8,23,0,15,0,,0,wangbingbing,990001
598769,1582856739000,1582856739000,,2,北美洲,10,加拿大,,,8,12,0,4,0,,0,wangbingbing,971001
598778,1582856739000,1582856739000,,2,欧洲,10,英国,,,7,15,0,8,0,,0,wangbingbing,961007
598835,1582856739000,1582856739000,,2,亚洲,10,以色列,,,6,7,0,1,0,,0,wangbingbing,955009
598850,1582856739000,1582856739000,,2,亚洲,10,伊拉克,,,6,6,0,0,0,,0,wangbingbing,955008
598761,1582856739000,1582856739000,,2,亚洲,4,马来西亚,,,5,23,0,18,0,,0,wangbingbing,952007
598860,1582856739000,1582856739000,,2,亚洲,10,阿曼,,,4,4,0,0,0,,0,wangbingbing,955013
598862,1582856739000,1582856739000,,2,欧洲,10,瑞士,,,4,4,0,0,0,,0,wangbingbing,963008
598836,1582856739000,1582856739000,,2,亚洲,10,黎巴嫩,,,3,3,0,0,0,,0,wangbingbing,955012
598861,1582856739000,1582856739000,,2,欧洲,10,克罗地亚,,,3,3,0,0,0,,0,wangbingbing,965005
598876,1582856739000,1582856739000,,2,欧洲,10,奥地利,,,3,3,0,0,0,,0,wangbingbing,963001
598953,1582856739000,1582856739000,,2,欧洲,10,希腊,,,3,3,0,0,0,,0,wangbingbing,965007
598781,1582856739000,1582856739000,,2,欧洲,10,瑞典,,,2,2,0,0,0,,0,wangbingbing,962005
598954,1582856739000,1582856739000,,2,亚洲,10,巴基斯坦,,,2,2,0,0,0,,0,wangbingbing,953006
598775,1582856739000,1582856739000,,2,欧洲,10,芬兰,,,1,2,0,1,0,,0,wangbingbing,962002
598782,1582856739000,1582856739000,,2,亚洲,10,菲律宾,,,1,3,0,1,1,,0,wangbingbing,952008
598794,1582856739000,1582856739000,,2,非洲,10,埃及,,,1,1,0,0,0,,0,wangbingbing,981002
598859,1582856739000,1582856739000,,2,亚洲,10,阿富汗,,,1,1,0,0,0,,0,wangbingbing,955001
598875,1582856739000,1582856739000,,2,非洲,10,阿尔及利亚,,,1,1,0,0,0,,0,wangbingbing,981001
598955,1582856739000,1582856739000,,2,南美洲,10,巴西,,,1,1,0,0,0,,0,wangbingbing,973003
599010,1582856739000,1582856739000,,2,欧洲,10,罗马尼亚,,,1,1,0,0,0,,0,wangbingbing,965011
599011,1582856739000,1582856739000,,2,欧洲,10,格鲁吉亚,,,1,1,0,0,0,,0,wangbingbing,955006
599012,1582856739000,1582856739000,,2,欧洲,10,爱沙尼亚,,,1,1,0,0,0,,0,wangbingbing,964002
599013,1582856739000,1582856739000,,2,欧洲,10,丹麦,,,1,1,0,0,0,,0,wangbingbing,962001
599014,1582856739000,1582856739000,,2,欧洲,10,挪威,,,1,1,0,0,0,,0,wangbingbing,962004
599015,1582856739000,1582856739000,,2,欧洲,10,北马其顿,,,1,1,0,0,0,,0,wangbingbing,0
599055,1582856739000,1582856739000,,2,欧洲,10,荷兰,,,1,1,0,0,0,,0,wangbingbing,961006
598766,1582856739000,1582856739000,,2,亚洲,9,越南,,,0,16,0,16,0,,0,wangbingbing,952011
598767,1582856739000,1582856739000,,2,亚洲,10,尼泊尔,,,0,1,0,1,0,,0,wangbingbing,953005
598770,1582856739000,1582856739000,,2,亚洲,10,柬埔寨,,,0,1,0,1,0,,0,wangbingbing,952003
598772,1582856739000,1582856739000,,2,亚洲,10,斯里兰卡,,,0,1,0,1,0,,0,wangbingbing,953007
598776,1582856739000,1582856739000,,2,亚洲,10,印度,,,0,3,0,3,0,,0,wangbingbing,953003
598779,1582856739000,1582856739000,,2,欧洲,10,俄罗斯,,,0,2,0,2,0,,0,wangbingbing,964006
598793,1582856739000,1582856739000,,2,欧洲,10,比利时,,,0,1,0,1,0,,0,wangbingbing,961001
