id,createTime,modifyTime,tags,countryType,continents,provinceId,provinceName,provinceShortName,cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,comment,sort,operator,locationId,countryShortCode
766807,1583288137000,1583288137000,,2,亚洲,7,韩国,,,5255,5328,0,41,32,,0,wangbingbing,951004,KOR
766820,1583288137000,1583288137000,,2,欧洲,10,意大利,,,2263,2502,0,160,79,,0,wangbingbing,965008,ITA
766850,1583288138000,1583288138000,,2,亚洲,10,伊朗,,,1824,2336,0,435,77,,0,wangbingbing,955007,IRN
766837,1583288138000,1583288138000,,2,其他,10,钻石公主号邮轮,,,700,706,0,0,6,,0,wangbingbing,0,Princess
766806,1583288137000,1583288137000,,2,亚洲,6,日本,,,242,294,0,46,6,,0,wangbingbing,951002,JPN
766805,1583288137000,1583288137000,,2,欧洲,5,法国,,,196,212,0,12,4,,0,wangbingbing,961002,FRA
766814,1583288137000,1583288137000,,2,欧洲,10,德国,,,182,196,0,14,0,,0,wangbingbing,963003,DEU
766822,1583288137000,1583288137000,,2,欧洲,10,西班牙,,,162,165,0,2,1,,0,wangbingbing,965015,ESP
766808,1583288137000,1583288137000,,2,北美洲,8,美国,,,105,117,0,3,9,,0,wangbingbing,971002,USA
766854,1583288138000,1583288138000,,2,亚洲,10,科威特,,,56,56,0,0,0,,0,wangbingbing,955011,KWT
766855,1583288138000,1583288138000,,2,亚洲,10,巴林,,,47,47,0,0,0,,0,wangbingbing,955004,BHR
766859,1583288138000,1583288138000,,2,欧洲,10,瑞士,,,44,46,0,2,0,,0,wangbingbing,963008,CHE
766933,1583288138000,1583288138000,,2,欧洲,10,英国,,,43,51,0,8,0,,0,wangbingbing,961007,GBR
766803,1583288137000,1583288137000,,2,亚洲,3,新加坡,,,36,110,0,74,0,,0,wangbingbing,952009,SGP
766877,1583288138000,1583288138000,,2,欧洲,10,挪威,,,33,33,0,0,0,,0,wangbingbing,962004,NOR
766853,1583288138000,1583288138000,,2,亚洲,10,伊拉克,,,31,31,0,0,0,,0,wangbingbing,955008,IRQ
766823,1583288137000,1583288137000,,2,欧洲,10,瑞典,,,30,30,0,0,0,,0,wangbingbing,962005,SWE
766812,1583288137000,1583288137000,,2,北美洲,10,加拿大,,,26,30,0,4,0,,0,wangbingbing,971001,CAN
766811,1583288137000,1583288137000,,2,大洋洲,10,澳大利亚,,,24,40,0,15,1,,0,wangbingbing,990001,AUS
