provinceName,provinceShortName,currentConfirmedCount...3,confirmedCount_sum,suspectedCount_sum,curedCount_sum,deadCount_sum,comment,locationId_s,cityName,currentConfirmedCount...11,confirmedCount,suspectedCount,curedCount,deadCount,locationId
湖北省,湖北,49030,56249,0,5623,1596,,420000,武汉,35314,39462,0,2915,1233,420100
湖北省,湖北,49030,56249,0,5623,1596,,420000,孝感,2783,3201,0,353,65,420900
湖北省,湖北,49030,56249,0,5623,1596,,420000,黄冈,2032,2823,0,716,75,421100
湖北省,湖北,49030,56249,0,5623,1596,,420000,荆州,1191,1490,0,263,36,421000
湖北省,湖北,49030,56249,0,5623,1596,,420000,随州,1119,1254,0,113,22,421300
湖北省,湖北,49030,56249,0,5623,1596,,420000,襄阳,1011,1144,0,114,19,420600
湖北省,湖北,49030,56249,0,5623,1596,,420000,鄂州,974,1230,0,222,34,420700
湖北省,湖北,49030,56249,0,5623,1596,,420000,黄石,782,988,0,192,14,420200
湖北省,湖北,49030,56249,0,5623,1596,,420000,荆门,762,909,0,117,30,420800
湖北省,湖北,49030,56249,0,5623,1596,,420000,宜昌,740,901,0,140,21,420500
湖北省,湖北,49030,56249,0,5623,1596,,420000,咸宁,692,852,0,152,8,421200
湖北省,湖北,49030,56249,0,5623,1596,,420000,十堰,484,602,0,116,2,420300
湖北省,湖北,49030,56249,0,5623,1596,,420000,仙桃,419,523,0,87,17,429004
湖北省,湖北,49030,56249,0,5623,1596,,420000,天门,410,447,0,27,10,429006
湖北省,湖北,49030,56249,0,5623,1596,,420000,恩施州,167,247,0,76,4,422800
湖北省,湖北,49030,56249,0,5623,1596,,420000,潜江,148,166,0,12,6,429005
湖北省,湖北,49030,56249,0,5623,1596,,420000,神农架林区,2,10,0,8,0,429021
广东省,广东,872,1316,0,442,2,,440000,深圳,299,414,0,115,0,440300
广东省,广东,872,1316,0,442,2,,440000,广州,217,338,0,121,0,440100
广东省,广东,872,1316,0,442,2,,440000,东莞,81,89,0,7,1,441900
广东省,广东,872,1316,0,442,2,,440000,佛山,61,84,0,23,0,440600
广东省,广东,872,1316,0,442,2,,440000,珠海,59,96,0,37,0,440400
广东省,广东,872,1316,0,442,2,,440000,惠州,32,58,0,26,0,441300
广东省,广东,872,1316,0,442,2,,440000,中山,31,65,0,34,0,442000
广东省,广东,872,1316,0,442,2,,440000,江门,20,23,0,3,0,440700
广东省,广东,872,1316,0,442,2,,440000,汕头,14,25,0,11,0,440500
广东省,广东,872,1316,0,442,2,,440000,湛江,11,22,0,11,0,440800
广东省,广东,872,1316,0,442,2,,440000,茂名,10,13,0,3,0,440900
广东省,广东,872,1316,0,442,2,,440000,梅州,9,16,0,7,0,441400
广东省,广东,872,1316,0,442,2,,440000,肇庆,8,17,0,8,1,441200
广东省,广东,872,1316,0,442,2,,440000,阳江,6,13,0,7,0,441700
广东省,广东,872,1316,0,442,2,,440000,韶关,6,10,0,4,0,440200
广东省,广东,872,1316,0,442,2,,440000,清远,5,12,0,7,0,441800
广东省,广东,872,1316,0,442,2,,440000,揭阳,4,8,0,4,0,445200
广东省,广东,872,1316,0,442,2,,440000,汕尾,4,5,0,1,0,441500
广东省,广东,872,1316,0,442,2,,440000,潮州,4,5,0,1,0,445100
广东省,广东,872,1316,0,442,2,,440000,河源,2,3,0,1,0,441600
广东省,广东,872,1316,0,442,2,,440000,待明确地区,-11,0,0,11,0,0
河南省,河南,803,1231,0,415,13,参考卫健委统计口径，部分县区与地级市合并,410000,信阳,185,261,0,74,2,411500
河南省,河南,803,1231,0,415,13,参考卫健委统计口径，部分县区与地级市合并,410000,南阳,97,151,0,52,2,411300
河南省,河南,803,1231,0,415,13,参考卫健委统计口径，部分县区与地级市合并,410000,郑州,82,148,0,66,0,410100
河南省,河南,803,1231,0,415,13,参考卫健委统计口径，部分县区与地级市合并,410000,驻马店,74,138,0,64,0,411700
河南省,河南,803,1231,0,415,13,参考卫健委统计口径，部分县区与地级市合并,410000,商丘,59,91,0,30,2,411400
河南省,河南,803,1231,0,415,13,参考卫健委统计口径，部分县区与地级市合并,410000,周口,46,71,0,25,0,411600
河南省,河南,803,1231,0,415,13,参考卫健委统计口径，部分县区与地级市合并,410000,新乡,42,56,0,12,2,410700
河南省,河南,803,1231,0,415,13,参考卫健委统计口径，部分县区与地级市合并,410000,平顶山,37,58,0,20,1,410400
河南省,河南,803,1231,0,415,13,参考卫健委统计口径，部分县区与地级市合并,410000,安阳,33,51,0,18,0,410500
河南省,河南,803,1231,0,415,13,参考卫健委统计口径，部分县区与地级市合并,410000,许昌,30,38,0,8,0,411000
河南省,河南,803,1231,0,415,13,参考卫健委统计口径，部分县区与地级市合并,410000,漯河,22,34,0,12,0,411100
河南省,河南,803,1231,0,415,13,参考卫健委统计口径，部分县区与地级市合并,410000,焦作,22,30,0,7,1,410800
河南省,河南,803,1231,0,415,13,参考卫健委统计口径，部分县区与地级市合并,410000,洛阳,21,31,0,10,0,410300
河南省,河南,803,1231,0,415,13,参考卫健委统计口径，部分县区与地级市合并,410000,开封,19,26,0,7,0,410200
河南省,河南,803,1231,0,415,13,参考卫健委统计口径，部分县区与地级市合并,410000,鹤壁,15,19,0,4,0,410600
河南省,河南,803,1231,0,415,13,参考卫健委统计口径，部分县区与地级市合并,410000,濮阳,15,17,0,2,0,410900
河南省,河南,803,1231,0,415,13,参考卫健委统计口径，部分县区与地级市合并,410000,济源,4,4,0,0,0,419001
河南省,河南,803,1231,0,415,13,参考卫健委统计口径，部分县区与地级市合并,410000,三门峡,3,7,0,4,0,411200
河南省,河南,803,1231,0,415,13,参考卫健委统计口径，部分县区与地级市合并,410000,待明确地区,-3,0,0,0,3,0
浙江省,浙江,730,1167,0,437,0,,330000,温州,333,502,0,169,0,330300
浙江省,浙江,730,1167,0,437,0,,330000,宁波,102,155,0,53,0,330200
浙江省,浙江,730,1167,0,437,0,,330000,杭州,91,166,0,75,0,330100
浙江省,浙江,730,1167,0,437,0,,330000,台州,86,146,0,60,0,331000
浙江省,浙江,730,1167,0,437,0,,330000,嘉兴,32,43,0,11,0,330400
浙江省,浙江,730,1167,0,437,0,,330000,金华,31,55,0,24,0,330700
浙江省,浙江,730,1167,0,437,0,,330000,绍兴,25,42,0,17,0,330600
浙江省,浙江,730,1167,0,437,0,,330000,衢州,12,21,0,9,0,330800
浙江省,浙江,730,1167,0,437,0,,330000,丽水,7,17,0,10,0,331100
浙江省,浙江,730,1167,0,437,0,,330000,湖州,6,10,0,4,0,330500
浙江省,浙江,730,1167,0,437,0,,330000,舟山,5,10,0,5,0,330900
安徽省,安徽,714,962,0,242,6,,340000,蚌埠,143,157,0,9,5,340300
安徽省,安徽,714,962,0,242,6,,340000,合肥,125,169,0,43,1,340100
安徽省,安徽,714,962,0,242,6,,340000,阜阳,120,152,0,32,0,341200
安徽省,安徽,714,962,0,242,6,,340000,亳州,73,108,0,35,0,341600
安徽省,安徽,714,962,0,242,6,,340000,六安,50,65,0,15,0,341500
安徽省,安徽,714,962,0,242,6,,340000,安庆,49,82,0,33,0,340800
安徽省,安徽,714,962,0,242,6,,340000,宿州,28,39,0,11,0,341300
安徽省,安徽,714,962,0,242,6,,340000,马鞍山,26,36,0,10,0,340500
