provinceName,provinceShortName,currentConfirmedCount...3,confirmedCount_sum,suspectedCount_sum,curedCount_sum,deadCount_sum,comment,locationId_s,statisticsData,cityName,currentConfirmedCount...12,confirmedCount,suspectedCount,curedCount,deadCount,locationId
湖北省,湖北,32959,66907,0,31187,2761,,420000,https://file1.dxycdn.com/2020/0223/618/3398299751673487511-135.json,武汉,27700,49122,0,19227,2195,420100
湖北省,湖北,32959,66907,0,31187,2761,,420000,https://file1.dxycdn.com/2020/0223/618/3398299751673487511-135.json,孝感,1185,3518,0,2215,118,420900
湖北省,湖北,32959,66907,0,31187,2761,,420000,https://file1.dxycdn.com/2020/0223/618/3398299751673487511-135.json,黄冈,619,2905,0,2171,115,421100
湖北省,湖北,32959,66907,0,31187,2761,,420000,https://file1.dxycdn.com/2020/0223/618/3398299751673487511-135.json,鄂州,560,1391,0,784,47,420700
湖北省,湖北,32959,66907,0,31187,2761,,420000,https://file1.dxycdn.com/2020/0223/618/3398299751673487511-135.json,荆州,499,1579,0,1034,46,421000
湖北省,湖北,32959,66907,0,31187,2761,,420000,https://file1.dxycdn.com/2020/0223/618/3398299751673487511-135.json,随州,432,1307,0,835,40,421300
湖北省,湖北,32959,66907,0,31187,2761,,420000,https://file1.dxycdn.com/2020/0223/618/3398299751673487511-135.json,宜昌,394,931,0,506,31,420500
湖北省,湖北,32959,66907,0,31187,2761,,420000,https://file1.dxycdn.com/2020/0223/618/3398299751673487511-135.json,襄阳,291,1175,0,850,34,420600
湖北省,湖北,32959,66907,0,31187,2761,,420000,https://file1.dxycdn.com/2020/0223/618/3398299751673487511-135.json,荆门,284,925,0,604,37,420800
湖北省,湖北,32959,66907,0,31187,2761,,420000,https://file1.dxycdn.com/2020/0223/618/3398299751673487511-135.json,黄石,283,1014,0,697,34,420200
湖北省,湖北,32959,66907,0,31187,2761,,420000,https://file1.dxycdn.com/2020/0223/618/3398299751673487511-135.json,十堰,224,672,0,441,7,420300
湖北省,湖北,32959,66907,0,31187,2761,,420000,https://file1.dxycdn.com/2020/0223/618/3398299751673487511-135.json,咸宁,132,836,0,692,12,421200
湖北省,湖北,32959,66907,0,31187,2761,,420000,https://file1.dxycdn.com/2020/0223/618/3398299751673487511-135.json,仙桃,118,575,0,438,19,429004
湖北省,湖北,32959,66907,0,31187,2761,,420000,https://file1.dxycdn.com/2020/0223/618/3398299751673487511-135.json,天门,112,496,0,371,13,429006
湖北省,湖北,32959,66907,0,31187,2761,,420000,https://file1.dxycdn.com/2020/0223/618/3398299751673487511-135.json,潜江,70,198,0,119,9,429005
湖北省,湖北,32959,66907,0,31187,2761,,420000,https://file1.dxycdn.com/2020/0223/618/3398299751673487511-135.json,恩施州,56,252,0,192,4,422800
湖北省,湖北,32959,66907,0,31187,2761,,420000,https://file1.dxycdn.com/2020/0223/618/3398299751673487511-135.json,神农架林区,0,11,0,11,0,429021
广东省,广东,333,1349,0,1009,7,部分治愈病例省级卫健委未明确市区归属。因此省份现存确诊≠下辖市区现存确诊之和。,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json,深圳,115,417,0,299,3,440300
广东省,广东,333,1349,0,1009,7,部分治愈病例省级卫健委未明确市区归属。因此省份现存确诊≠下辖市区现存确诊之和。,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json,广州,97,346,0,248,1,440100
广东省,广东,333,1349,0,1009,7,部分治愈病例省级卫健委未明确市区归属。因此省份现存确诊≠下辖市区现存确诊之和。,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json,佛山,37,84,0,47,0,440600
广东省,广东,333,1349,0,1009,7,部分治愈病例省级卫健委未明确市区归属。因此省份现存确诊≠下辖市区现存确诊之和。,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json,东莞,35,99,0,63,1,441900
广东省,广东,333,1349,0,1009,7,部分治愈病例省级卫健委未明确市区归属。因此省份现存确诊≠下辖市区现存确诊之和。,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json,珠海,26,98,0,71,1,440400
广东省,广东,333,1349,0,1009,7,部分治愈病例省级卫健委未明确市区归属。因此省份现存确诊≠下辖市区现存确诊之和。,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json,江门,10,23,0,13,0,440700
广东省,广东,333,1349,0,1009,7,部分治愈病例省级卫健委未明确市区归属。因此省份现存确诊≠下辖市区现存确诊之和。,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json,中山,8,66,0,58,0,442000
广东省,广东,333,1349,0,1009,7,部分治愈病例省级卫健委未明确市区归属。因此省份现存确诊≠下辖市区现存确诊之和。,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json,湛江,5,22,0,17,0,440800
广东省,广东,333,1349,0,1009,7,部分治愈病例省级卫健委未明确市区归属。因此省份现存确诊≠下辖市区现存确诊之和。,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json,肇庆,5,19,0,13,1,441200
广东省,广东,333,1349,0,1009,7,部分治愈病例省级卫健委未明确市区归属。因此省份现存确诊≠下辖市区现存确诊之和。,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json,茂名,5,14,0,9,0,440900
广东省,广东,333,1349,0,1009,7,部分治愈病例省级卫健委未明确市区归属。因此省份现存确诊≠下辖市区现存确诊之和。,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json,惠州,4,62,0,58,0,441300
广东省,广东,333,1349,0,1009,7,部分治愈病例省级卫健委未明确市区归属。因此省份现存确诊≠下辖市区现存确诊之和。,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json,梅州,4,16,0,12,0,441400
广东省,广东,333,1349,0,1009,7,部分治愈病例省级卫健委未明确市区归属。因此省份现存确诊≠下辖市区现存确诊之和。,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json,汕头,3,25,0,22,0,440500
广东省,广东,333,1349,0,1009,7,部分治愈病例省级卫健委未明确市区归属。因此省份现存确诊≠下辖市区现存确诊之和。,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json,阳江,3,14,0,11,0,441700
广东省,广东,333,1349,0,1009,7,部分治愈病例省级卫健委未明确市区归属。因此省份现存确诊≠下辖市区现存确诊之和。,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json,揭阳,2,8,0,6,0,445200
广东省,广东,333,1349,0,1009,7,部分治愈病例省级卫健委未明确市区归属。因此省份现存确诊≠下辖市区现存确诊之和。,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json,韶关,1,10,0,9,0,440200
广东省,广东,333,1349,0,1009,7,部分治愈病例省级卫健委未明确市区归属。因此省份现存确诊≠下辖市区现存确诊之和。,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json,清远,0,12,0,12,0,441800
广东省,广东,333,1349,0,1009,7,部分治愈病例省级卫健委未明确市区归属。因此省份现存确诊≠下辖市区现存确诊之和。,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json,汕尾,0,5,0,5,0,441500
广东省,广东,333,1349,0,1009,7,部分治愈病例省级卫健委未明确市区归属。因此省份现存确诊≠下辖市区现存确诊之和。,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json,潮州,0,5,0,5,0,445100
广东省,广东,333,1349,0,1009,7,部分治愈病例省级卫健委未明确市区归属。因此省份现存确诊≠下辖市区现存确诊之和。,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json,河源,0,4,0,4,0,441600
广东省,广东,333,1349,0,1009,7,部分治愈病例省级卫健委未明确市区归属。因此省份现存确诊≠下辖市区现存确诊之和。,440000,https://file1.dxycdn.com/2020/0223/281/3398299758115524068-135.json,待明确地区,-27,0,0,27,0,0
山东省,山东,319,756,0,431,6,,370000,https://file1.dxycdn.com/2020/0223/601/3398299749526003726-135.json,济宁,212,258,0,46,0,370800
山东省,山东,319,756,0,431,6,,370000,https://file1.dxycdn.com/2020/0223/601/3398299749526003726-135.json,济南,18,47,0,29,0,370100
山东省,山东,319,756,0,431,6,,370000,https://file1.dxycdn.com/2020/0223/601/3398299749526003726-135.json,德州,17,37,0,18,2,371400
山东省,山东,319,756,0,431,6,,370000,https://file1.dxycdn.com/2020/0223/601/3398299749526003726-135.json,烟台,16,47,0,31,0,370600
山东省,山东,319,756,0,431,6,,370000,https://file1.dxycdn.com/2020/0223/601/3398299749526003726-135.json,潍坊,15,44,0,29,0,370700
山东省,山东,319,756,0,431,6,,370000,https://file1.dxycdn.com/2020/0223/601/3398299749526003726-135.json,青岛,8,60,0,51,1,370200
山东省,山东,319,756,0,431,6,,370000,https://file1.dxycdn.com/2020/0223/601/3398299749526003726-135.json,淄博,8,30,0,21,1,370300
