provinceName,provinceShortName,currentConfirmedCount...3,confirmedCount_sum,suspectedCount_sum,curedCount_sum,deadCount_sum,comment,locationId_s,cityName,currentConfirmedCount...11,confirmedCount,suspectedCount,curedCount,deadCount,locationId
湖北省,湖北,43455,48206,0,3441,1310,,420000,武汉,30042,32994,0,1916,1036,420100
湖北省,湖北,43455,48206,0,3441,1310,,420000,孝感,2618,2874,0,207,49,420900
湖北省,湖北,43455,48206,0,3441,1310,,420000,黄冈,2177,2662,0,427,58,421100
湖北省,湖北,43455,48206,0,3441,1310,,420000,荆州,1307,1431,0,101,23,421000
湖北省,湖北,43455,48206,0,3441,1310,,420000,随州,1084,1160,0,62,14,421300
湖北省,湖北,43455,48206,0,3441,1310,,420000,襄阳,1022,1101,0,66,13,420600
湖北省,湖北,43455,48206,0,3441,1310,,420000,鄂州,940,1065,0,95,30,420700
湖北省,湖北,43455,48206,0,3441,1310,,420000,荆门,811,927,0,92,24,420800
湖北省,湖北,43455,48206,0,3441,1310,,420000,黄石,789,911,0,113,9,420200
湖北省,湖北,43455,48206,0,3441,1310,,420000,宜昌,727,810,0,72,11,420500
湖北省,湖北,43455,48206,0,3441,1310,,420000,十堰,480,562,0,81,1,420300
湖北省,湖北,43455,48206,0,3441,1310,,420000,咸宁,443,534,0,84,7,421200
湖北省,湖北,43455,48206,0,3441,1310,,420000,仙桃,416,480,0,48,16,429004
湖北省,湖北,43455,48206,0,3441,1310,,420000,天门,339,362,0,13,10,429006
湖北省,湖北,43455,48206,0,3441,1310,,420000,恩施州,177,229,0,48,4,422800
湖北省,湖北,43455,48206,0,3441,1310,,420000,潜江,81,94,0,8,5,429005
湖北省,湖北,43455,48206,0,3441,1310,,420000,神农架林区,2,10,0,8,0,429021
广东省,广东,950,1241,0,289,2,,440000,深圳,309,391,0,82,0,440300
广东省,广东,950,1241,0,289,2,,440000,广州,256,327,0,71,0,440100
广东省,广东,950,1241,0,289,2,,440000,珠海,68,89,0,21,0,440400
广东省,广东,950,1241,0,289,2,,440000,佛山,64,81,0,17,0,440600
广东省,广东,950,1241,0,289,2,,440000,东莞,63,70,0,7,0,441900
广东省,广东,950,1241,0,289,2,,440000,中山,42,64,0,22,0,442000
广东省,广东,950,1241,0,289,2,,440000,惠州,48,55,0,7,0,441300
广东省,广东,950,1241,0,289,2,,440000,汕头,17,25,0,8,0,440500
广东省,广东,950,1241,0,289,2,,440000,江门,18,22,0,4,0,440700
广东省,广东,950,1241,0,289,2,,440000,湛江,12,21,0,9,0,440800
广东省,广东,950,1241,0,289,2,,440000,肇庆,8,16,0,7,1,441200
广东省,广东,950,1241,0,289,2,,440000,阳江,8,13,0,5,0,441700
广东省,广东,950,1241,0,289,2,,440000,梅州,8,13,0,5,0,441400
广东省,广东,950,1241,0,289,2,,440000,茂名,11,13,0,2,0,440900
广东省,广东,950,1241,0,289,2,,440000,清远,7,12,0,5,0,441800
广东省,广东,950,1241,0,289,2,,440000,韶关,5,8,0,3,0,440200
广东省,广东,950,1241,0,289,2,,440000,揭阳,5,8,0,3,0,445200
广东省,广东,950,1241,0,289,2,,440000,汕尾,4,5,0,1,0,441500
广东省,广东,950,1241,0,289,2,,440000,潮州,5,5,0,0,0,445100
广东省,广东,950,1241,0,289,2,,440000,河源,2,3,0,1,0,441600
广东省,广东,950,1241,0,289,2,,440000,待明确地区,-10,0,0,9,1,0
河南省,河南,897,1169,0,262,10,参考卫健委统计口径，部分县区与地级市合并,410000,信阳,202,240,0,38,0,411500
河南省,河南,897,1169,0,262,10,参考卫健委统计口径，部分县区与地级市合并,410000,南阳,107,145,0,36,2,411300
河南省,河南,897,1169,0,262,10,参考卫健委统计口径，部分县区与地级市合并,410000,郑州,94,141,0,47,0,410100
河南省,河南,897,1169,0,262,10,参考卫健委统计口径，部分县区与地级市合并,410000,驻马店,103,134,0,31,0,411700
河南省,河南,897,1169,0,262,10,参考卫健委统计口径，部分县区与地级市合并,410000,商丘,73,87,0,14,0,411400
河南省,河南,897,1169,0,262,10,参考卫健委统计口径，部分县区与地级市合并,410000,周口,48,68,0,20,0,411600
河南省,河南,897,1169,0,262,10,参考卫健委统计口径，部分县区与地级市合并,410000,平顶山,37,56,0,18,1,410400
河南省,河南,897,1169,0,262,10,参考卫健委统计口径，部分县区与地级市合并,410000,新乡,46,54,0,7,1,410700
河南省,河南,897,1169,0,262,10,参考卫健委统计口径，部分县区与地级市合并,410000,安阳,40,50,0,10,0,410500
河南省,河南,897,1169,0,262,10,参考卫健委统计口径，部分县区与地级市合并,410000,许昌,31,34,0,3,0,411000
河南省,河南,897,1169,0,262,10,参考卫健委统计口径，部分县区与地级市合并,410000,漯河,27,33,0,6,0,411100
河南省,河南,897,1169,0,262,10,参考卫健委统计口径，部分县区与地级市合并,410000,洛阳,26,30,0,4,0,410300
河南省,河南,897,1169,0,262,10,参考卫健委统计口径，部分县区与地级市合并,410000,焦作,23,29,0,5,1,410800
河南省,河南,897,1169,0,262,10,参考卫健委统计口径，部分县区与地级市合并,410000,开封,22,25,0,3,0,410200
