id,createTime,modifyTime,tags,countryType,continents,provinceId,provinceName,provinceShortName,cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,comment,sort,operator,locationId,countryShortCode
673617,1583027647000,1583027647000,,2,亚洲,7,韩国,,,3479,3526,0,30,17,,0,wangjinyuan,951004,KOR
673630,1583027647000,1583027647000,,2,欧洲,10,意大利,,,1049,1128,0,50,29,,0,wangjinyuan,965008,ITA
673647,1583027647000,1583027647000,,2,其他,10,钻石公主号邮轮,,,699,705,0,0,6,,0,wangjinyuan,0,Princess
673672,1583027647000,1583027647000,,2,亚洲,10,伊朗,,,427,593,0,123,43,,0,wangjinyuan,955007,IRN
673616,1583027647000,1583027647000,,2,亚洲,6,日本,,,213,240,0,22,5,,0,wangjinyuan,951002,JPN
673624,1583027647000,1583027647000,,2,欧洲,10,德国,,,101,115,0,14,0,,0,wangjinyuan,963003,DEU
673615,1583027647000,1583027647000,,2,欧洲,5,法国,,,86,100,0,12,2,,0,wangjinyuan,961002,FRA
673618,1583027647000,1583027647000,,2,北美洲,8,美国,,,59,63,0,3,1,,0,wangjinyuan,971002,USA
673676,1583027647000,1583027647000,,2,亚洲,10,科威特,,,43,43,0,0,0,,0,wangjinyuan,955011,KWT
673632,1583027647000,1583027647000,,2,欧洲,10,西班牙,,,39,41,0,2,0,,0,wangjinyuan,965015,ESP
673677,1583027647000,1583027647000,,2,亚洲,10,巴林,,,38,38,0,0,0,,0,wangjinyuan,955004,BHR
673613,1583027647000,1583027647000,,2,亚洲,3,新加坡,,,30,102,0,72,0,,0,wangjinyuan,952009,SGP
673681,1583027647000,1583027647000,,2,欧洲,10,瑞士,,,24,24,0,0,0,,0,wangjinyuan,963008,CHE
673622,1583027647000,1583027647000,,2,北美洲,10,加拿大,,,16,20,0,4,0,,0,wangjinyuan,971001,CAN
673627,1583027647000,1583027647000,,2,亚洲,10,阿联酋,,,16,21,0,5,0,,0,wangjinyuan,955019,ARE
673718,1583027647000,1583027647000,,2,欧洲,10,挪威,,,15,15,0,0,0,,0,wangjinyuan,962004,NOR
673612,1583027647000,1583027647000,,2,亚洲,2,泰国,,,14,42,0,28,0,,0,wangjinyuan,952010,THA
673633,1583027647000,1583027647000,,2,欧洲,10,瑞典,,,13,13,0,0,0,,0,wangjinyuan,962005,SWE
673675,1583027647000,1583027647000,,2,亚洲,10,伊拉克,,,13,13,0,0,0,,0,wangjinyuan,955008,IRQ
673861,1583027647000,1583027647000,,2,欧洲,10,英国,,,12,20,0,8,0,,0,wangjinyuan,961007,GBR
673621,1583027647000,1583027647000,,2,大洋洲,10,澳大利亚,,,10,26,0,15,1,,0,wangjinyuan,990001,AUS
673683,1583027647000,1583027647000,,2,欧洲,10,奥地利,,,10,10,0,0,0,,0,wangjinyuan,963001,AUT
673673,1583027647000,1583027647000,,2,亚洲,10,以色列,,,8,9,0,1,0,,0,wangjinyuan,955009,ISR
673614,1583027647000,1583027647000,,2,亚洲,4,马来西亚,,,7,25,0,18,0,,0,wangjinyuan,952007,MYS
673720,1583027647000,1583027647000,,2,欧洲,10,荷兰,,,7,7,0,0,0,,0,wangjinyuan,961006,NLD
673680,1583027647000,1583027647000,,2,欧洲,10,克罗地亚,,,6,6,0,0,0,,0,wangjinyuan,965005,HRV
673679,1583027647000,1583027647000,,2,亚洲,10,阿曼,,,5,6,0,1,0,,0,wangjinyuan,955013,OMN
673684,1583027647000,1583027647000,,2,欧洲,10,希腊,,,4,4,0,0,0,,0,wangjinyuan,965007,GRC
673736,1583027647000,1583027647000,,2,北美洲,10,墨西哥,,,4,4,0,0,0,,0,wangjinyuan,971003,MEX
673674,1583027647000,1583027647000,,2,亚洲,10,黎巴嫩,,,3,3,0,0,0,,0,wangjinyuan,955012,LBN
673714,1583027647000,1583027647000,,2,欧洲,10,罗马尼亚,,,3,3,0,0,0,,0,wangjinyuan,965011,ROM
673717,1583027647000,1583027647000,,2,欧洲,10,丹麦,,,3,3,0,0,0,,0,wangjinyuan,962001,DNK
673628,1583027647000,1583027647000,,2,欧洲,10,芬兰,,,2,3,0,1,0,,0,wangjinyuan,962002,FIN
673685,1583027647000,1583027647000,,2,亚洲,10,巴基斯坦,,,2,2,0,0,0,,0,wangjinyuan,953006,PAK
673686,1583027647000,1583027647000,,2,南美洲,10,巴西,,,2,2,0,0,0,,0,wangjinyuan,973003,BRA
673715,1583027647000,1583027647000,,2,欧洲,10,格鲁吉亚,,,2,2,0,0,0,,0,wangjinyuan,955006,GEO
673634,1583027647000,1583027647000,,2,亚洲,10,菲律宾,,,1,3,0,1,1,,0,wangjinyuan,952008,PHL
673678,1583027647000,1583027647000,,2,亚洲,10,阿富汗,,,1,1,0,0,0,,0,wangjinyuan,955001,AFG
673682,1583027647000,1583027647000,,2,非洲,10,阿尔及利亚,,,1,1,0,0,0,,0,wangjinyuan,981001,DZA
673716,1583027647000,1583027647000,,2,欧洲,10,爱沙尼亚,,,1,1,0,0,0,,0,wangjinyuan,964002,EST
673719,1583027647000,1583027647000,,2,欧洲,10,北马其顿,,,1,1,0,0,0,,0,wangjinyuan,0,MKD
673731,1583027647000,1583027647000,,2,非洲,10,尼日利亚,,,1,1,0,0,0,,0,wangjinyuan,982013,NGA
673732,1583027647000,1583027647000,,2,欧洲,10,立陶宛,,,1,1,0,0,0,,0,wangjinyuan,964004,LTU
673733,1583027647000,1583027647000,,2,大洋洲,10,新西兰,,,1,1,0,0,0,,0,wangjinyuan,990007,NZL
673734,1583027647000,1583027647000,,2,欧洲,10,白俄罗斯,,,1,1,0,0,0,,0,wangjinyuan,964001,BLR
673735,1583027647000,1583027647000,,2,亚洲,10,阿塞拜疆,,,1,1,0,0,0,,0,wangjinyuan,955003,AZE
673737,1583027647000,1583027647000,,2,欧洲,10,冰岛,,,1,1,0,0,0,,0,wangjinyuan,962003,ISL
673764,1583027647000,1583027647000,,2,欧洲,10,摩纳哥,,,1,1,0,0,0,,0,wangjinyuan,961005,MCO
673862,1583027647000,1583027647000,,2,亚洲,10,卡塔尔,,,1,1,0,0,0,,0,wangjinyuan,955015,QAT
673913,1583027647000,1583027647000,,2,欧洲,10,爱尔兰,,,1,1,0,0,0,,0,wangjinyuan,961003,IRL
